alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
CMAES,1,1,2,79.48,475,-1,-1,-1,-1,0.05211639404296875
CMAES,1,2,2,394.48,535,-1,-1,-1,-1,0.06139659881591797
CMAES,1,3,2,-247.11,475,1,1,1,1,0.05228686332702637
CMAES,1,4,2,-152.04,451,1,1,1,1,0.05016279220581055
CMAES,1,5,2,-25.25,463,1,1,1,1,0.05195975303649902
CMAES,1,1,2,79.48,475,-1,-1,-1,-1,0.05274772644042969
CMAES,1,2,2,394.48,535,-1,-1,-1,-1,0.06250643730163574
CMAES,1,3,2,-247.11,475,1,1,1,1,0.0542294979095459
CMAES,1,4,2,-152.04,451,1,1,1,1,0.05081033706665039
CMAES,1,5,2,-25.25,463,1,1,1,1,0.06531476974487305
CMAES,1,1,2,79.48,475,-1,-1,-1,-1,0.05570030212402344
CMAES,1,2,2,394.48,535,-1,-1,-1,-1,0.0632774829864502
CMAES,1,3,2,-247.11,475,1,1,1,1,0.05511307716369629
CMAES,1,4,2,-152.04,451,1,1,1,1,0.05211806297302246
CMAES,1,5,2,-25.25,463,1,1,1,1,0.05659079551696777
CMAES,2,1,2,-209.88,721,55,55,55,55,0.08010554313659668
CMAES,2,2,2,-92.09,697,96,96,96,96,0.08258485794067383
CMAES,2,3,2,-87.89,661,46,46,46,46,0.08498668670654297
CMAES,2,4,2,320.19,655,-1,-1,-1,-1,0.07829022407531738
CMAES,2,5,2,-104.24,655,48,48,48,48,0.07641887664794922
CMAES,2,1,2,-209.88,721,55,55,55,55,0.08327221870422363
CMAES,2,2,2,-92.09,697,96,96,96,96,0.08321428298950195
CMAES,2,3,2,-87.89,661,46,46,46,46,0.07904171943664551
CMAES,2,4,2,320.19,655,-1,-1,-1,-1,0.07573556900024414
CMAES,2,5,2,-104.24,655,48,48,48,48,0.07871580123901367
CMAES,2,1,2,-209.88,721,55,55,55,55,0.08313655853271484
CMAES,2,2,2,-92.09,697,96,96,96,96,0.08649396896362305
CMAES,2,3,2,-87.89,661,46,46,46,46,0.07680606842041016
CMAES,2,4,2,320.19,655,-1,-1,-1,-1,0.07598185539245605
CMAES,2,5,2,-104.24,655,48,48,48,48,0.0763401985168457
CMAES,3,1,2,-460.85708851556615,721,1,1,1,1,0.08197474479675293
CMAES,3,2,2,77.66,601,-1,-1,-1,-1,0.0708608627319336
CMAES,3,3,2,120.65479024764738,595,-1,-1,-1,-1,0.06608343124389648
CMAES,3,4,2,-2.7150409429067084,571,83,83,83,83,0.06744217872619629
CMAES,3,5,2,133.1749590570933,511,-1,-1,-1,-1,0.05937790870666504
CMAES,3,1,2,-460.85708851556615,721,1,1,1,1,0.08391547203063965
CMAES,3,2,2,77.66,601,-1,-1,-1,-1,0.07106399536132812
CMAES,3,3,2,120.65479024764738,595,-1,-1,-1,-1,0.07437396049499512
CMAES,3,4,2,-2.7150409429067084,571,83,83,83,83,0.06671333312988281
CMAES,3,5,2,133.1749590570933,511,-1,-1,-1,-1,0.060184478759765625
CMAES,3,1,2,-460.85708851556615,721,1,1,1,1,0.0829319953918457
CMAES,3,2,2,77.66,601,-1,-1,-1,-1,0.06879687309265137
CMAES,3,3,2,120.65479024764738,595,-1,-1,-1,-1,0.07197237014770508
CMAES,3,4,2,-2.7150409429067084,571,83,83,83,83,0.0672612190246582
CMAES,3,5,2,133.1749590570933,511,-1,-1,-1,-1,0.0579836368560791
CMAES,4,1,2,-459.9392968616622,595,1,1,1,1,0.06605792045593262
CMAES,4,2,2,78.6549590570933,631,-1,-1,-1,-1,0.07004737854003906
CMAES,4,3,2,120.65479024764738,601,-1,-1,-1,-1,0.06622076034545898
CMAES,4,4,2,0.15251574725578498,571,-1,-1,-1,-1,0.06436753273010254
CMAES,4,5,2,134.1699181141866,553,-1,-1,-1,-1,0.06456351280212402
CMAES,4,1,2,-459.9392968616622,595,1,1,1,1,0.06841516494750977
CMAES,4,2,2,78.6549590570933,631,-1,-1,-1,-1,0.0735161304473877
CMAES,4,3,2,120.65479024764738,601,-1,-1,-1,-1,0.06953167915344238
CMAES,4,4,2,0.15251574725578498,571,-1,-1,-1,-1,0.06536078453063965
CMAES,4,5,2,134.1699181141866,553,-1,-1,-1,-1,0.06676864624023438
CMAES,4,1,2,-459.9392968616622,595,1,1,1,1,0.06782388687133789
CMAES,4,2,2,78.6549590570933,631,-1,-1,-1,-1,0.07276034355163574
CMAES,4,3,2,120.65479024764738,601,-1,-1,-1,-1,0.06915402412414551
CMAES,4,4,2,0.15251574725578498,571,-1,-1,-1,-1,0.0636129379272461
CMAES,4,5,2,134.1699181141866,553,-1,-1,-1,-1,0.06171560287475586
CMAES,5,1,2,-9.209998899999995,337,2,2,2,2,0.043065786361694336
CMAES,5,2,2,655.9900011,301,-1,-1,-1,-1,0.039345741271972656
CMAES,5,3,2,66.7100011,331,-1,-1,-1,-1,0.04547238349914551
CMAES,5,4,2,941.6700010999999,331,-1,-1,-1,-1,0.04434680938720703
CMAES,5,5,2,-37.4499989,337,2,2,2,2,0.04385876655578613
CMAES,5,1,2,-9.209998899999995,337,2,2,2,2,0.04420351982116699
CMAES,5,2,2,655.9900011,301,-1,-1,-1,-1,0.039301156997680664
CMAES,5,3,2,66.7100011,331,-1,-1,-1,-1,0.04262208938598633
CMAES,5,4,2,941.6700010999999,331,-1,-1,-1,-1,0.04309844970703125
CMAES,5,5,2,-37.4499989,337,2,2,2,2,0.04254961013793945
CMAES,5,1,2,-9.209998899999995,337,2,2,2,2,0.042914390563964844
CMAES,5,2,2,655.9900011,301,-1,-1,-1,-1,0.04047203063964844
CMAES,5,3,2,66.7100011,331,-1,-1,-1,-1,0.04179859161376953
CMAES,5,4,2,941.6700010999999,331,-1,-1,-1,-1,0.04135465621948242
CMAES,5,5,2,-37.4499989,337,2,2,2,2,0.04555177688598633
CMAES,6,1,2,35.900000000000006,865,-1,-1,-1,-1,0.10154151916503906
CMAES,6,2,2,31.370000000000008,1003,-1,-1,-1,-1,0.1272602081298828
CMAES,6,3,2,-1000.0,883,1,1,1,1,0.11828136444091797
CMAES,6,4,2,131.92000000000002,871,-1,-1,-1,-1,0.11168670654296875
CMAES,6,5,2,590.84,817,-1,-1,-1,-1,0.0895376205444336
CMAES,6,1,2,35.900000000000006,865,-1,-1,-1,-1,0.10429525375366211
CMAES,6,2,2,31.370000000000008,1003,-1,-1,-1,-1,0.1421375274658203
CMAES,6,3,2,-1000.0,883,1,1,1,1,0.12245774269104004
CMAES,6,4,2,131.92000000000002,871,-1,-1,-1,-1,0.11158466339111328
CMAES,6,5,2,590.84,817,-1,-1,-1,-1,0.08930420875549316
CMAES,6,1,2,35.900000000000006,865,-1,-1,-1,-1,0.09889626502990723
CMAES,6,2,2,31.370000000000008,1003,-1,-1,-1,-1,0.1334383487701416
CMAES,6,3,2,-1000.0,883,1,1,1,1,0.11236715316772461
CMAES,6,4,2,131.92000000000002,871,-1,-1,-1,-1,0.11143970489501953
CMAES,6,5,2,590.84,817,-1,-1,-1,-1,0.10345911979675293
CMAES,7,1,2,92.94,475,-1,-1,-1,-1,0.0768120288848877
CMAES,7,2,2,35.35,469,-1,-1,-1,-1,0.0628049373626709
CMAES,7,3,2,4.332290542404778,97,-1,-1,-1,-1,0.01539921760559082
CMAES,7,4,2,22.51298212347685,121,-1,-1,-1,-1,0.01590895652770996
CMAES,7,5,2,64.79000000000003,493,-1,-1,-1,-1,0.054498910903930664
CMAES,7,1,2,92.94,475,-1,-1,-1,-1,0.06803059577941895
CMAES,7,2,2,35.35,469,-1,-1,-1,-1,0.05552101135253906
CMAES,7,3,2,4.332290542404778,97,-1,-1,-1,-1,0.013985633850097656
CMAES,7,4,2,22.51298212347685,121,-1,-1,-1,-1,0.016453981399536133
CMAES,7,5,2,64.79000000000003,493,-1,-1,-1,-1,0.0566411018371582
CMAES,7,1,2,92.94,475,-1,-1,-1,-1,0.06373429298400879
