alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
GA,1,1,2,inf,8051,-1,-1,-1,-1,0.814293384552002
GA,1,2,2,inf,8051,-1,-1,-1,-1,0.7773160934448242
GA,1,3,2,inf,8051,1,1,1,1,0.7866332530975342
GA,1,4,2,inf,8051,1,1,1,1,0.7933955192565918
GA,1,5,2,inf,8051,1,1,1,1,0.7840399742126465
GA,1,1,2,inf,8051,-1,-1,-1,-1,0.8312625885009766
GA,1,2,2,inf,8051,-1,-1,-1,-1,0.78269362449646
GA,1,3,2,inf,8051,1,1,1,1,0.8264169692993164
GA,1,4,2,inf,8051,1,1,1,1,0.825599193572998
GA,1,5,2,inf,8051,2,2,2,2,0.7946946620941162
GA,1,1,2,inf,8051,-1,-1,-1,-1,0.7839169502258301
GA,1,2,2,inf,8051,-1,-1,-1,-1,0.8145756721496582
GA,1,3,2,inf,8051,1,1,1,1,0.7807445526123047
GA,1,4,2,inf,8051,1,1,1,1,0.8113129138946533
GA,1,5,2,inf,8051,1,1,1,1,0.8572282791137695
GA,2,1,2,inf,8051,1133,1133,1133,1133,0.8468315601348877
GA,2,2,2,inf,8051,6360,6360,6360,6360,0.8645100593566895
GA,2,3,2,inf,8051,1447,1447,1447,1447,0.8007950782775879
GA,2,4,2,inf,8051,-1,-1,-1,-1,0.7597014904022217
GA,2,5,2,inf,8051,-1,-1,-1,-1,0.7652757167816162
GA,2,1,2,inf,8051,4512,4512,4512,4512,0.7681868076324463
GA,2,2,2,inf,8051,11,11,11,11,0.8442916870117188
GA,2,3,2,inf,8051,-1,-1,-1,-1,0.8255720138549805
GA,2,4,2,inf,8051,-1,-1,-1,-1,0.8214075565338135
GA,2,5,2,inf,8051,-1,-1,-1,-1,0.806969165802002
GA,2,1,2,inf,8051,31,31,31,31,0.8031666278839111
GA,2,2,2,inf,8051,24,24,24,24,0.8255298137664795
GA,2,3,2,inf,8051,-1,-1,-1,-1,0.807457447052002
GA,2,4,2,inf,8051,-1,-1,-1,-1,0.8044936656951904
GA,2,5,2,inf,8051,-1,-1,-1,-1,0.8563687801361084
GA,3,1,2,inf,8051,1,1,1,1,0.8239290714263916
GA,3,2,2,inf,8051,-1,-1,-1,-1,0.8532998561859131
GA,3,3,2,inf,8051,-1,-1,-1,-1,0.8878071308135986
GA,3,4,2,inf,8051,177,177,177,177,0.8719303607940674
GA,3,5,2,inf,8051,-1,-1,-1,-1,0.8355269432067871
GA,3,1,2,inf,8051,1,1,1,1,0.8237688541412354
GA,3,2,2,inf,8051,-1,-1,-1,-1,0.8426599502563477
GA,3,3,2,inf,8051,-1,-1,-1,-1,0.8528835773468018
GA,3,4,2,inf,8051,4171,4171,4171,4171,0.8763799667358398
GA,3,5,2,inf,8051,-1,-1,-1,-1,0.8654067516326904
GA,3,1,2,inf,8051,1,1,1,1,0.8414478302001953
GA,3,2,2,inf,8051,-1,-1,-1,-1,0.816474437713623
GA,3,3,2,inf,8051,-1,-1,-1,-1,0.8396997451782227
GA,3,4,2,inf,8051,878,878,878,878,0.791771411895752
GA,3,5,2,inf,8051,-1,-1,-1,-1,0.7920684814453125
GA,4,1,2,inf,8051,1,1,1,1,0.8087375164031982
GA,4,2,2,inf,8051,-1,-1,-1,-1,0.788496732711792
GA,4,3,2,inf,8051,-1,-1,-1,-1,0.7879974842071533
GA,4,4,2,inf,8051,1865,1865,1865,1865,0.8029248714447021
GA,4,5,2,inf,8051,-1,-1,-1,-1,0.8048062324523926
GA,4,1,2,inf,8051,1,1,1,1,0.807436466217041
GA,4,2,2,inf,8051,-1,-1,-1,-1,0.8368988037109375
GA,4,3,2,inf,8051,-1,-1,-1,-1,0.7940208911895752
GA,4,4,2,inf,8051,361,361,361,361,0.7908825874328613
GA,4,5,2,inf,8051,-1,-1,-1,-1,0.7863061428070068
GA,4,1,2,inf,8051,1,1,1,1,0.7998874187469482
GA,4,2,2,inf,8051,-1,-1,-1,-1,0.8049962520599365
GA,4,3,2,inf,8051,-1,-1,-1,-1,0.7980473041534424
GA,4,4,2,inf,8051,1929,1929,1929,1929,0.8097629547119141
GA,4,5,2,inf,8051,-1,-1,-1,-1,0.8132288455963135
GA,5,1,2,inf,8051,5,5,5,5,0.8113725185394287
GA,5,2,2,inf,8051,-1,-1,-1,-1,0.8159823417663574
GA,5,3,2,inf,8051,-1,-1,-1,-1,0.7981562614440918
GA,5,4,2,inf,8051,-1,-1,-1,-1,0.7800838947296143
GA,5,5,2,inf,8051,6,6,6,6,0.7919607162475586
GA,5,1,2,inf,8051,56,56,56,56,0.8036279678344727
GA,5,2,2,inf,8051,-1,-1,-1,-1,0.7881865501403809
GA,5,3,2,inf,8051,-1,-1,-1,-1,0.7902586460113525
GA,5,4,2,inf,8051,-1,-1,-1,-1,0.8229856491088867
GA,5,5,2,inf,8051,4,4,4,4,0.7930455207824707
GA,5,1,2,inf,8051,8,8,8,8,0.779813289642334
GA,5,2,2,inf,8051,-1,-1,-1,-1,0.8445756435394287
GA,5,3,2,inf,8051,-1,-1,-1,-1,0.8028233051300049
GA,5,4,2,inf,8051,-1,-1,-1,-1,0.8200170993804932
GA,5,5,2,inf,8051,3,3,3,3,0.9343771934509277
GA,6,1,2,inf,8051,-1,-1,-1,-1,0.8236899375915527
GA,6,2,2,inf,8051,-1,-1,-1,-1,0.7987980842590332
GA,6,3,2,inf,8051,2,2,2,2,0.8011200428009033
GA,6,4,2,inf,8051,-1,-1,-1,-1,0.8053858280181885
GA,6,5,2,inf,8051,-1,-1,-1,-1,0.8119022846221924
GA,6,1,2,inf,8051,-1,-1,-1,-1,0.7974796295166016
GA,6,2,2,inf,8051,-1,-1,-1,-1,0.8262159824371338
GA,6,3,2,inf,8051,4,4,4,4,0.8481240272521973
GA,6,4,2,inf,8051,-1,-1,-1,-1,0.8569862842559814
GA,6,5,2,inf,8051,-1,-1,-1,-1,0.854407548904419
GA,6,1,2,inf,8051,-1,-1,-1,-1,0.8995838165283203
GA,6,2,2,inf,8051,-1,-1,-1,-1,0.8414170742034912
GA,6,3,2,inf,8051,1,1,1,1,0.8566253185272217
GA,6,4,2,inf,8051,-1,-1,-1,-1,0.8111865520477295
GA,6,5,2,inf,8051,-1,-1,-1,-1,0.8053691387176514
GA,7,1,2,inf,8051,-1,-1,-1,-1,0.8057787418365479
GA,7,2,2,inf,8051,-1,-1,-1,-1,0.8293673992156982
GA,7,3,2,inf,8051,-1,-1,-1,-1,0.8519301414489746
GA,7,4,2,inf,8051,-1,-1,-1,-1,0.8638646602630615
GA,7,5,2,inf,8051,-1,-1,-1,-1,0.8392412662506104
GA,7,1,2,inf,8051,-1,-1,-1,-1,0.815495491027832
GA,7,2,2,inf,8051,-1,-1,-1,-1,0.8386569023132324
GA,7,3,2,inf,8051,-1,-1,-1,-1,0.8654780387878418
GA,7,4,2,inf,8051,-1,-1,-1,-1,0.932877779006958
GA,7,5,2,inf,8051,-1,-1,-1,-1,0.7781631946563721
GA,7,1,2,inf,8051,-1,-1,-1,-1,0.8018631935119629
GA,7,2,2,inf,8051,-1,-1,-1,-1,0.7890632152557373
GA,7,3,2,inf,8051,-1,-1,-1,-1,0.813258171081543
GA,7,4,2,inf,8051,-1,-1,-1,-1,0.8173182010650635
GA,7,5,2,inf,8051,-1,-1,-1,-1,0.8519995212554932
GA,8,1,2,inf,8051,-1,-1,-1,-1,0.8764936923980713
GA,8,2,2,inf,8051,1,1,1,1,0.8526039123535156
GA,8,3,2,inf,8051,-1,-1,-1,-1,0.8875010013580322
GA,8,4,2,inf,8051,6,6,6,6,0.8785603046417236
GA,8,5,2,inf,8051,-1,-1,-1,-1,0.8778946399688721
GA,8,1,2,inf,8051,-1,-1,-1,-1,0.9461653232574463
GA,8,2,2,inf,8051,3,3,3,3,0.8000380992889404
GA,8,3,2,inf,8051,-1,-1,-1,-1,0.7752254009246826
GA,8,4,2,inf,8051,3,3,3,3,0.772796630859375
GA,8,5,2,inf,8051,-1,-1,-1,-1,0.801619291305542
GA,8,1,2,inf,8051,-1,-1,-1,-1,0.7787420749664307
GA,8,2,2,inf,8051,1,1,1,1,0.7785739898681641
GA,8,3,2,inf,8051,-1,-1,-1,-1,0.9053554534912109
GA,8,4,2,inf,8051,19,19,19,19,0.829078197479248
GA,8,5,2,inf,8051,-1,-1,-1,-1,0.7808279991149902
GA,9,1,2,inf,8051,-1,-1,-1,-1,0.7961845397949219
GA,9,2,2,inf,8051,-1,-1,-1,-1,0.8058345317840576
GA,9,3,2,inf,8051,-1,-1,-1,-1,0.8334102630615234
GA,9,4,2,inf,8051,5,5,5,5,0.7820820808410645
GA,9,5,2,inf,8051,-1,-1,-1,-1,0.7785289287567139
GA,9,1,2,inf,8051,-1,-1,-1,-1,0.7894623279571533
GA,9,2,2,inf,8051,-1,-1,-1,-1,0.8049633502960205
GA,9,3,2,inf,8051,-1,-1,-1,-1,0.8210029602050781
GA,9,4,2,inf,8051,10,10,10,10,0.8242769241333008
GA,9,5,2,inf,8051,-1,-1,-1,-1,0.799504280090332
GA,9,1,2,inf,8051,-1,-1,-1,-1,0.7899978160858154
GA,9,2,2,inf,8051,-1,-1,-1,-1,0.7834572792053223
GA,9,3,2,inf,8051,-1,-1,-1,-1,0.7833399772644043
GA,9,4,2,inf,8051,11,11,11,11,0.7869377136230469
GA,9,5,2,inf,8051,-1,-1,-1,-1,0.7862815856933594
GA,10,1,2,inf,8051,-1,-1,-1,-1,0.7790803909301758
GA,10,2,2,inf,8051,-1,-1,-1,-1,0.8155612945556641
GA,10,3,2,inf,8051,2590,2590,2590,2590,0.7879412174224854
GA,10,4,2,inf,8051,3658,3658,3658,3658,0.794525146484375
GA,10,5,2,inf,8051,188,188,188,188,0.7885744571685791
GA,10,1,2,inf,8051,52,52,52,52,0.8599834442138672
GA,10,2,2,inf,8051,-1,-1,-1,-1,0.7883732318878174
GA,10,3,2,inf,8051,65,65,65,65,0.7963273525238037
GA,10,4,2,inf,8051,2408,2408,2408,2408,0.8234221935272217
GA,10,5,2,inf,8051,1087,1087,1087,1087,0.8193929195404053
