alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
GWO,1,1,2,inf,8051,-1,-1,-1,-1,0.5318343639373779
GWO,1,2,2,inf,8051,-1,-1,-1,-1,0.5496532917022705
GWO,1,3,2,inf,8051,1,1,1,1,0.5379388332366943
GWO,1,4,2,inf,8051,1,1,1,1,0.5256226062774658
GWO,1,5,2,inf,8051,1,1,1,1,0.5239555835723877
GWO,1,1,2,inf,8051,-1,-1,-1,-1,0.5237505435943604
GWO,1,2,2,inf,8051,-1,-1,-1,-1,0.5220463275909424
GWO,1,3,2,inf,8051,1,1,1,1,0.5347261428833008
GWO,1,4,2,inf,8051,1,1,1,1,0.5332415103912354
GWO,1,5,2,inf,8051,1,1,1,1,0.5902385711669922
GWO,1,1,2,inf,8051,-1,-1,-1,-1,0.5266232490539551
GWO,1,2,2,inf,8051,-1,-1,-1,-1,0.5365686416625977
GWO,1,3,2,inf,8051,1,1,1,1,0.5388391017913818
GWO,1,4,2,inf,8051,1,1,1,1,0.536700963973999
GWO,1,5,2,inf,8051,9,9,9,9,0.5334551334381104
GWO,2,1,2,inf,8051,215,215,215,215,0.5886240005493164
GWO,2,2,2,inf,8051,282,282,282,282,0.5555956363677979
GWO,2,3,2,inf,8051,265,265,265,265,0.5183963775634766
GWO,2,4,2,inf,8051,-1,-1,-1,-1,0.5406081676483154
GWO,2,5,2,inf,8051,368,368,368,368,0.5464005470275879
GWO,2,1,2,inf,8051,165,165,165,165,0.5688798427581787
GWO,2,2,2,inf,8051,452,452,452,452,0.539849042892456
GWO,2,3,2,inf,8051,110,110,110,110,0.5404024124145508
GWO,2,4,2,inf,8051,-1,-1,-1,-1,0.5374960899353027
GWO,2,5,2,inf,8051,319,319,319,319,0.6123919486999512
GWO,2,1,2,inf,8051,117,117,117,117,0.529308557510376
GWO,2,2,2,inf,8051,128,128,128,128,0.5304238796234131
GWO,2,3,2,inf,8051,81,81,81,81,0.542123556137085
GWO,2,4,2,inf,8051,-1,-1,-1,-1,0.5219438076019287
GWO,2,5,2,inf,8051,195,195,195,195,0.5161862373352051
GWO,3,1,2,inf,8051,1,1,1,1,0.5331013202667236
GWO,3,2,2,inf,8051,-1,-1,-1,-1,0.5475294589996338
GWO,3,3,2,inf,8051,-1,-1,-1,-1,0.6088557243347168
GWO,3,4,2,inf,8051,203,203,203,203,0.5467367172241211
GWO,3,5,2,inf,8051,-1,-1,-1,-1,0.5759780406951904
GWO,3,1,2,inf,8051,1,1,1,1,0.5690052509307861
GWO,3,2,2,inf,8051,-1,-1,-1,-1,0.5835762023925781
GWO,3,3,2,inf,8051,-1,-1,-1,-1,0.5537405014038086
GWO,3,4,2,inf,8051,479,479,479,479,0.5356354713439941
GWO,3,5,2,inf,8051,-1,-1,-1,-1,0.5356221199035645
GWO,3,1,2,inf,8051,1,1,1,1,0.5380575656890869
