alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
JADE,1,1,2,79.48,3090,-1,-1,-1,-1,0.03388166427612305
JADE,1,2,2,394.48,2730,-1,-1,-1,-1,0.03089618682861328
JADE,1,3,2,-247.11,2730,1,1,1,1,0.0313413143157959
JADE,1,4,2,-152.04,2760,1,1,1,1,0.0313870906829834
JADE,1,5,2,-25.25,3090,1,1,1,1,0.03566384315490723
JADE,1,6,2,-201.72,2880,1,1,1,1,0.03246045112609863
JADE,1,7,2,-1000.0,2880,1,1,1,1,0.03310585021972656
JADE,1,8,2,-42.9,3060,1,1,1,1,0.03457379341125488
JADE,1,9,2,-101.32,2940,1,1,1,1,0.03438854217529297
JADE,1,10,2,3.65,3120,-1,-1,-1,-1,0.0355687141418457
JADE,1,11,2,220.53,2850,-1,-1,-1,-1,0.032922983169555664
JADE,1,12,2,421.29,2820,-1,-1,-1,-1,0.03568530082702637
JADE,1,13,2,-79.0,2790,1,1,1,1,0.0318913459777832
JADE,1,14,2,-41.33,3120,1,1,1,1,0.03655195236206055
JADE,1,15,2,212.75,2760,-1,-1,-1,-1,0.04774188995361328
JADE,2,1,2,-209.88,3570,265,265,265,265,0.042469024658203125
JADE,2,2,2,-92.09,3360,373,373,373,373,0.03961062431335449
JADE,2,3,2,-87.89,3750,225,225,225,225,0.043931007385253906
JADE,2,4,2,320.19,3630,-1,-1,-1,-1,0.04223346710205078
JADE,2,5,2,-104.24,3510,243,243,243,243,0.04158425331115723
JADE,2,6,2,-35.7,3540,302,302,302,302,0.04109621047973633
JADE,2,7,2,20.7,3630,-1,-1,-1,-1,0.04224658012390137
JADE,2,8,2,38.07,3810,-1,-1,-1,-1,0.04430651664733887
JADE,2,9,2,-45.42,3690,48,48,48,48,0.04334902763366699
JADE,2,10,2,66.95,3540,-1,-1,-1,-1,0.0413815975189209
JADE,2,11,2,58.32,3750,-1,-1,-1,-1,0.04367327690124512
JADE,2,12,2,193.27,3540,-1,-1,-1,-1,0.041010141372680664
JADE,2,13,2,-419.01,3420,150,150,150,150,0.039569854736328125
JADE,2,14,2,407.61,3840,-1,-1,-1,-1,0.045177459716796875
JADE,2,15,2,28.72,3900,-1,-1,-1,-1,0.045178890228271484
JADE,3,1,2,-462.09,4920,1,1,1,1,0.057997941970825195
JADE,3,2,2,77.66,4200,-1,-1,-1,-1,0.05013418197631836
JADE,3,3,2,115.68,4560,-1,-1,-1,-1,0.05417943000793457
JADE,3,4,2,-3.71,4920,126,126,126,126,0.05787825584411621
JADE,3,5,2,132.18,4260,-1,-1,-1,-1,0.05059170722961426
JADE,3,6,2,-584.73,3900,1,1,1,1,0.05873298645019531
JADE,3,7,2,-36.54,5010,1,1,1,1,0.05916619300842285
JADE,3,8,2,1000.0,4230,-1,-1,-1,-1,0.051789283752441406
JADE,3,9,2,46.61,4740,-1,-1,-1,-1,0.05649137496948242
JADE,3,10,2,-264.31,4050,1,1,1,1,0.04851651191711426
JADE,3,11,2,72.73,4290,-1,-1,-1,-1,0.051106929779052734
JADE,3,12,2,136.87,4680,-1,-1,-1,-1,0.0551295280456543
JADE,3,13,2,21.96,4590,-1,-1,-1,-1,0.05468249320983887
JADE,3,14,2,-21.39,4440,83,83,83,83,0.052934885025024414
JADE,3,15,2,517.66,4380,-1,-1,-1,-1,0.05194830894470215
JADE,4,1,2,-462.09,4770,1,1,1,1,0.05554986000061035
JADE,4,2,2,77.66,4770,-1,-1,-1,-1,0.056661367416381836
JADE,4,3,2,115.68,4230,-1,-1,-1,-1,0.051023244857788086
JADE,4,4,2,-3.71,4980,191,191,191,191,0.05906867980957031
JADE,4,5,2,132.18,4830,-1,-1,-1,-1,0.05650520324707031
JADE,4,6,2,-584.73,4740,1,1,1,1,0.05582094192504883
JADE,4,7,2,-36.54,4770,4,4,4,4,0.056066274642944336
JADE,4,8,2,1000.0,5310,-1,-1,-1,-1,0.06930041313171387
JADE,4,9,2,46.61,5160,-1,-1,-1,-1,0.0685586929321289
JADE,4,10,2,-264.31,4770,1,1,1,1,0.05303692817687988
JADE,4,11,2,72.73,5220,-1,-1,-1,-1,0.059828996658325195
JADE,4,12,2,136.87,5340,-1,-1,-1,-1,0.06137657165527344
JADE,4,13,2,21.96,4920,-1,-1,-1,-1,0.05700111389160156
JADE,4,14,2,-21.39,4980,21,21,21,21,0.05748391151428223
JADE,4,15,2,517.66,4560,-1,-1,-1,-1,0.05372142791748047
JADE,5,1,2,-9.209998899999995,1740,14,14,14,14,0.02057337760925293
JADE,5,2,2,655.9900011,1770,-1,-1,-1,-1,0.02039361000061035
JADE,5,3,2,66.7100011,1710,-1,-1,-1,-1,0.02031087875366211
JADE,5,4,2,941.6700010999999,1710,-1,-1,-1,-1,0.019857168197631836
JADE,5,5,2,-37.4499989,1740,6,6,6,6,0.020838260650634766
JADE,5,6,2,290.6200011,1740,-1,-1,-1,-1,0.02181077003479004
JADE,5,7,2,-101.5299989,1710,1,1,1,1,0.02180647850036621
JADE,5,8,2,301.97000110000005,1800,-1,-1,-1,-1,0.022324085235595703
JADE,5,9,2,-65.6099989,1710,1,1,1,1,0.02135157585144043
JADE,5,10,2,-35.68999889999999,1740,14,14,14,14,0.022214651107788086
JADE,5,11,2,31.740001100000004,1770,-1,-1,-1,-1,0.022098779678344727
JADE,5,12,2,834.4900011,1710,-1,-1,-1,-1,0.0346217155456543
JADE,5,13,2,41.59000110000001,1740,-1,-1,-1,-1,0.020750999450683594
JADE,5,14,2,100.42000110000001,1770,-1,-1,-1,-1,0.021060466766357422
JADE,5,15,2,-7.529998899999995,1770,7,7,7,7,0.02123260498046875
JADE,6,1,2,35.9,5880,-1,-1,-1,-1,0.07239317893981934
JADE,6,2,2,31.37,4980,-1,-1,-1,-1,0.06037402153015137
JADE,6,3,2,-1000.0,4980,1,1,1,1,0.06038022041320801
JADE,6,4,2,131.92,5040,-1,-1,-1,-1,0.0694730281829834
JADE,6,5,2,590.84,4770,-1,-1,-1,-1,0.07441592216491699
JADE,6,6,2,30.98,5790,-1,-1,-1,-1,0.08582401275634766
JADE,6,7,2,-144.54,4980,11,11,11,11,0.09851884841918945
JADE,6,8,2,-96.49,4890,4,4,4,4,0.06456446647644043
JADE,6,9,2,1000.0,4020,-1,-1,-1,-1,0.05223345756530762
JADE,6,10,2,-154.76,5550,14,14,14,14,0.07038640975952148
JADE,6,11,2,39.14,5520,-1,-1,-1,-1,0.07026386260986328
JADE,6,12,2,-11.86,5790,32,32,32,32,0.07335948944091797
JADE,6,13,2,70.68,4470,-1,-1,-1,-1,0.05789303779602051
JADE,6,14,2,-6.26,5220,4,4,4,4,0.06860518455505371
JADE,6,15,2,183.86,4170,-1,-1,-1,-1,0.05411171913146973
JADE,7,1,2,92.94,5010,-1,-1,-1,-1,0.05843377113342285
