alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
LBFGSB,1,1,2,79.4800000000002,12,-1,-1,-1,-1,0.011379480361938477
LBFGSB,1,2,2,400.14393407776004,6,-1,-1,-1,-1,0.0006990432739257812
LBFGSB,1,3,2,-245.66615768031966,12,1,1,1,1,0.0009062290191650391
LBFGSB,1,4,2,-152.04,9,1,1,1,1,0.0007598400115966797
LBFGSB,1,5,2,-25.249999999999993,12,1,1,1,1,0.0008950233459472656
LBFGSB,1,1,2,79.4800000000002,12,-1,-1,-1,-1,0.0009145736694335938
LBFGSB,1,2,2,400.14393407776004,6,-1,-1,-1,-1,0.0005838871002197266
LBFGSB,1,3,2,-245.66615768031966,12,1,1,1,1,0.0009334087371826172
LBFGSB,1,4,2,-152.04,9,1,1,1,1,0.0007395744323730469
LBFGSB,1,5,2,-25.249999999999993,12,1,1,1,1,0.0012772083282470703
LBFGSB,1,1,2,79.4800000000002,12,-1,-1,-1,-1,0.0009722709655761719
LBFGSB,1,2,2,400.14393407776004,6,-1,-1,-1,-1,0.000629425048828125
LBFGSB,1,3,2,-245.66615768031966,12,1,1,1,1,0.0009069442749023438
LBFGSB,1,4,2,-152.04,9,1,1,1,1,0.0007641315460205078
LBFGSB,1,5,2,-25.249999999999993,12,1,1,1,1,0.0008924007415771484
LBFGSB,2,1,2,-209.87999995561356,150,22,22,22,22,0.007310152053833008
LBFGSB,2,2,2,6376247.87484043,45,-1,-1,-1,-1,0.002584218978881836
LBFGSB,2,3,2,1981159.7515045984,45,-1,-1,-1,-1,0.002438783645629883
LBFGSB,2,4,2,320.1900000143425,132,-1,-1,-1,-1,0.006613492965698242
LBFGSB,2,5,2,1242657.033248034,48,-1,-1,-1,-1,0.002645254135131836
LBFGSB,2,1,2,-209.87999995561356,150,22,22,22,22,0.007634639739990234
LBFGSB,2,2,2,6376247.87484043,45,-1,-1,-1,-1,0.002722024917602539
LBFGSB,2,3,2,1981159.7515045984,45,-1,-1,-1,-1,0.002634763717651367
LBFGSB,2,4,2,320.1900000143425,132,-1,-1,-1,-1,0.007065534591674805
LBFGSB,2,5,2,1242657.033248034,48,-1,-1,-1,-1,0.002832651138305664
LBFGSB,2,1,2,-209.87999995561356,150,22,22,22,22,0.007742881774902344
LBFGSB,2,2,2,6376247.87484043,45,-1,-1,-1,-1,0.0031731128692626953
LBFGSB,2,3,2,1981159.7515045984,45,-1,-1,-1,-1,0.004216670989990234
