alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
LSHADE,1,1,2,79.48,1310,-1,-1,-1,-1,0.018531322479248047
LSHADE,1,2,2,394.48,1180,-1,-1,-1,-1,0.016896963119506836
LSHADE,1,3,2,-247.11,1200,1,1,1,1,0.020197153091430664
LSHADE,1,4,2,-152.04,990,1,1,1,1,0.01831531524658203
LSHADE,1,5,2,-25.25,1180,1,1,1,1,0.02695155143737793
LSHADE,1,6,2,-201.72,1170,1,1,1,1,0.02288198471069336
LSHADE,1,7,2,-1000.0,1020,1,1,1,1,0.014868021011352539
LSHADE,1,8,2,-42.9,1230,1,1,1,1,0.02217578887939453
LSHADE,1,9,2,-101.32,1160,1,1,1,1,0.017503023147583008
LSHADE,1,10,2,3.65,1250,-1,-1,-1,-1,0.018452167510986328
LSHADE,1,11,2,220.53,1140,-1,-1,-1,-1,0.01662135124206543
LSHADE,1,12,2,421.29,1100,-1,-1,-1,-1,0.01709270477294922
LSHADE,1,13,2,-79.0,1270,1,1,1,1,0.021009206771850586
LSHADE,1,14,2,-41.33,1290,1,1,1,1,0.019121885299682617
LSHADE,1,15,2,212.75,1260,-1,-1,-1,-1,0.017132997512817383
LSHADE,2,1,2,-209.88,1440,58,58,58,58,0.028778553009033203
LSHADE,2,2,2,-92.09,1460,151,151,151,151,0.021945476531982422
LSHADE,2,3,2,-87.89,1370,62,62,62,62,0.023717403411865234
LSHADE,2,4,2,320.19,1480,-1,-1,-1,-1,0.022657394409179688
LSHADE,2,5,2,-104.24,1550,130,130,130,130,0.021765470504760742
LSHADE,2,6,2,-35.7,1420,122,122,122,122,0.02081298828125
LSHADE,2,7,2,20.7,1560,-1,-1,-1,-1,0.021376371383666992
LSHADE,2,8,2,38.07,1440,-1,-1,-1,-1,0.019479036331176758
LSHADE,2,9,2,-45.42,1570,96,96,96,96,0.020799636840820312
LSHADE,2,10,2,66.95,1600,-1,-1,-1,-1,0.022388935089111328
LSHADE,2,11,2,58.32,1520,-1,-1,-1,-1,0.020483016967773438
LSHADE,2,12,2,193.27,1880,-1,-1,-1,-1,0.024875164031982422
LSHADE,2,13,2,-419.01,1470,151,151,151,151,0.021333694458007812
LSHADE,2,14,2,407.61,1490,-1,-1,-1,-1,0.020088911056518555
LSHADE,2,15,2,28.72,1630,-1,-1,-1,-1,0.02119612693786621
LSHADE,3,1,2,-458.1101688094459,1820,1,1,1,1,0.02375936508178711
LSHADE,3,2,2,77.66,1640,-1,-1,-1,-1,0.020986557006835938
LSHADE,3,3,2,115.68,2060,-1,-1,-1,-1,0.027901411056518555
LSHADE,3,4,2,-3.71,2000,179,179,179,179,0.03177690505981445
LSHADE,3,5,2,132.18,1600,-1,-1,-1,-1,0.031233549118041992
LSHADE,3,6,2,-584.73,1520,1,1,1,1,0.02870917320251465
LSHADE,3,7,2,-36.54,1580,1,1,1,1,0.02899909019470215
LSHADE,3,8,2,1000.0,1570,-1,-1,-1,-1,0.02982497215270996
LSHADE,3,9,2,46.61,1550,-1,-1,-1,-1,0.029160022735595703
LSHADE,3,10,2,-264.31,1580,1,1,1,1,0.020099163055419922
LSHADE,3,11,2,72.73,1950,-1,-1,-1,-1,0.024569988250732422
LSHADE,3,12,2,136.87,1800,-1,-1,-1,-1,0.02294182777404785
LSHADE,3,13,2,21.96,1840,-1,-1,-1,-1,0.023572206497192383
LSHADE,3,14,2,-21.39,1810,32,32,32,32,0.023167848587036133
LSHADE,3,15,2,517.66,1470,-1,-1,-1,-1,0.019153833389282227
LSHADE,4,1,2,-462.09,1810,1,1,1,1,0.023020267486572266
LSHADE,4,2,2,78.6549590570933,1540,-1,-1,-1,-1,0.019617080688476562
LSHADE,4,3,2,116.6749590570933,1520,-1,-1,-1,-1,0.019629478454589844
LSHADE,4,4,2,-3.71,2170,89,89,89,89,0.027238845825195312
LSHADE,4,5,2,132.18,1730,-1,-1,-1,-1,0.02178215980529785
LSHADE,4,6,2,-584.73,1900,1,1,1,1,0.024458646774291992
LSHADE,4,7,2,-36.54,2060,4,4,4,4,0.02566671371459961
LSHADE,4,8,2,1000.0,1760,-1,-1,-1,-1,0.022279024124145508
LSHADE,4,9,2,46.61,1780,-1,-1,-1,-1,0.022515296936035156
LSHADE,4,10,2,-264.31,1860,1,1,1,1,0.02395486831665039
LSHADE,4,11,2,72.73,1860,-1,-1,-1,-1,0.02414417266845703
LSHADE,4,12,2,136.87,2020,-1,-1,-1,-1,0.02609395980834961
LSHADE,4,13,2,22.95495905709329,1760,-1,-1,-1,-1,0.023187875747680664
LSHADE,4,14,2,-21.39,1760,31,31,31,31,0.02283310890197754
LSHADE,4,15,2,517.66,1590,-1,-1,-1,-1,0.023739337921142578
LSHADE,5,1,2,-9.209998899999995,740,16,16,16,16,0.017685890197753906
LSHADE,5,2,2,655.9900011,740,-1,-1,-1,-1,0.017699480056762695
LSHADE,5,3,2,66.7100011,670,-1,-1,-1,-1,0.015024423599243164
LSHADE,5,4,2,941.6700010999999,670,-1,-1,-1,-1,0.015984296798706055
LSHADE,5,5,2,-37.4499989,740,6,6,6,6,0.01563096046447754
LSHADE,5,6,2,290.6200011,740,-1,-1,-1,-1,0.009291410446166992
LSHADE,5,7,2,-101.5299989,670,1,1,1,1,0.01100468635559082
LSHADE,5,8,2,301.97000110000005,760,-1,-1,-1,-1,0.011921405792236328
LSHADE,5,9,2,-65.6099989,670,1,1,1,1,0.00923609733581543
LSHADE,5,10,2,-35.68999889999999,740,15,15,15,15,0.009616374969482422
LSHADE,5,11,2,31.740001100000004,740,-1,-1,-1,-1,0.010572671890258789
LSHADE,5,12,2,834.4900011,670,-1,-1,-1,-1,0.009160518646240234
LSHADE,5,13,2,41.59000110000001,740,-1,-1,-1,-1,0.01071023941040039
LSHADE,5,14,2,100.42000110000001,740,-1,-1,-1,-1,0.009778499603271484
LSHADE,5,15,2,-7.529998899999995,740,7,7,7,7,0.012025833129882812
LSHADE,6,1,2,35.900000000000006,1980,-1,-1,-1,-1,0.029819488525390625
LSHADE,6,2,2,31.37,1920,-1,-1,-1,-1,0.028980016708374023
LSHADE,6,3,2,-999.9999999999999,2090,1,1,1,1,0.03217339515686035
LSHADE,6,4,2,131.92,2200,-1,-1,-1,-1,0.04639315605163574
LSHADE,6,5,2,590.84,1740,-1,-1,-1,-1,0.023885250091552734
LSHADE,6,6,2,30.98,2250,-1,-1,-1,-1,0.03496861457824707
LSHADE,6,7,2,-144.54,2040,23,23,23,23,0.030537128448486328
LSHADE,6,8,2,-96.49,1970,4,4,4,4,0.03335094451904297
LSHADE,6,9,2,1000.0,1790,-1,-1,-1,-1,0.02994513511657715
LSHADE,6,10,2,-154.76,2190,15,15,15,15,0.03320741653442383
LSHADE,6,11,2,39.14,2200,-1,-1,-1,-1,0.03866267204284668
LSHADE,6,12,2,-11.86,1750,16,16,16,16,0.025690078735351562
LSHADE,6,13,2,70.68,1840,-1,-1,-1,-1,0.03138923645019531
LSHADE,6,14,2,-6.26,2080,4,4,4,4,0.04207658767700195
LSHADE,6,15,2,183.86,1930,-1,-1,-1,-1,0.039116859436035156
LSHADE,7,1,2,92.94,2000,-1,-1,-1,-1,0.026597976684570312
LSHADE,7,2,2,35.35,2010,-1,-1,-1,-1,0.04667997360229492
