alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
NLSHADE_RSP,1,1,2,79.48,8001,-1,-1,-1,-1,0.0786283016204834
NLSHADE_RSP,1,2,2,394.48,8001,-1,-1,-1,-1,0.08044624328613281
NLSHADE_RSP,1,3,2,-247.11,8001,1,1,1,1,0.0799107551574707
NLSHADE_RSP,1,4,2,-152.04,8001,1,1,1,1,0.0820150375366211
NLSHADE_RSP,1,5,2,-25.25,8001,1,1,1,1,0.08153033256530762
NLSHADE_RSP,1,6,2,-201.72,8001,1,1,1,1,0.08484101295471191
NLSHADE_RSP,1,7,2,-1000.0,8001,1,1,1,1,0.10840415954589844
NLSHADE_RSP,1,8,2,-42.9,8001,1,1,1,1,0.07986044883728027
NLSHADE_RSP,1,9,2,-101.32,8001,1,1,1,1,0.08358502388000488
NLSHADE_RSP,1,10,2,3.65,8001,-1,-1,-1,-1,0.08316302299499512
NLSHADE_RSP,1,11,2,220.53,8001,-1,-1,-1,-1,0.07995343208312988
NLSHADE_RSP,1,12,2,421.29,8001,-1,-1,-1,-1,0.08290314674377441
NLSHADE_RSP,1,13,2,-79.0,8001,1,1,1,1,0.07940149307250977
NLSHADE_RSP,1,14,2,-41.33,8001,1,1,1,1,0.08111405372619629
NLSHADE_RSP,1,15,2,212.75,8001,-1,-1,-1,-1,0.08438396453857422
NLSHADE_RSP,2,1,2,-209.88,8001,554,554,554,554,0.08686137199401855
NLSHADE_RSP,2,2,2,-92.09,8001,470,470,470,470,0.08680272102355957
NLSHADE_RSP,2,3,2,-87.89,8001,460,460,460,460,0.08772110939025879
NLSHADE_RSP,2,4,2,320.19,8001,-1,-1,-1,-1,0.08311247825622559
NLSHADE_RSP,2,5,2,-104.24,8001,97,97,97,97,0.08205962181091309
NLSHADE_RSP,2,6,2,-35.7,8001,428,428,428,428,0.0874185562133789
NLSHADE_RSP,2,7,2,20.7,8001,-1,-1,-1,-1,0.09043431282043457
NLSHADE_RSP,2,8,2,38.07,8001,-1,-1,-1,-1,0.08742523193359375
NLSHADE_RSP,2,9,2,-45.42,8001,326,326,326,326,0.08806872367858887
NLSHADE_RSP,2,10,2,66.95,8001,-1,-1,-1,-1,0.08455348014831543
NLSHADE_RSP,2,11,2,58.32,8001,-1,-1,-1,-1,0.08278894424438477
NLSHADE_RSP,2,12,2,193.27,8001,-1,-1,-1,-1,0.08288002014160156
NLSHADE_RSP,2,13,2,-419.01,8001,87,87,87,87,0.08612561225891113
NLSHADE_RSP,2,14,2,407.61,8001,-1,-1,-1,-1,0.08647012710571289
NLSHADE_RSP,2,15,2,28.72,8001,-1,-1,-1,-1,0.08644890785217285
NLSHADE_RSP,3,1,2,-462.09,8001,1,1,1,1,0.09009146690368652
NLSHADE_RSP,3,2,2,77.66,8001,-1,-1,-1,-1,0.08696603775024414
NLSHADE_RSP,3,3,2,115.68,8001,-1,-1,-1,-1,0.08348989486694336
NLSHADE_RSP,3,4,2,-3.71,8001,168,168,168,168,0.08337235450744629
NLSHADE_RSP,3,5,2,132.18,8001,-1,-1,-1,-1,0.08329510688781738
NLSHADE_RSP,3,6,2,-584.73,8001,1,1,1,1,0.08394074440002441
NLSHADE_RSP,3,7,2,-36.54,8001,1,1,1,1,0.0833897590637207
NLSHADE_RSP,3,8,2,1000.0,8001,-1,-1,-1,-1,0.08261775970458984
NLSHADE_RSP,3,9,2,46.61,8001,-1,-1,-1,-1,0.09114694595336914
NLSHADE_RSP,3,10,2,-264.31,8001,1,1,1,1,0.09149336814880371
NLSHADE_RSP,3,11,2,72.73,8001,-1,-1,-1,-1,0.08419537544250488
NLSHADE_RSP,3,12,2,136.87,8001,-1,-1,-1,-1,0.08258414268493652
NLSHADE_RSP,3,13,2,21.96,8001,-1,-1,-1,-1,0.08571839332580566
NLSHADE_RSP,3,14,2,-21.39,8001,38,38,38,38,0.08322405815124512
NLSHADE_RSP,3,15,2,517.66,8001,-1,-1,-1,-1,0.08252501487731934
NLSHADE_RSP,4,1,2,-462.09,8001,1,1,1,1,0.08173775672912598
NLSHADE_RSP,4,2,2,77.66,8001,-1,-1,-1,-1,0.08195376396179199
NLSHADE_RSP,4,3,2,115.68,8001,-1,-1,-1,-1,0.08258795738220215
NLSHADE_RSP,4,4,2,-3.71,8001,401,401,401,401,0.08164262771606445
NLSHADE_RSP,4,5,2,132.18,8001,-1,-1,-1,-1,0.08239293098449707
NLSHADE_RSP,4,6,2,-584.73,8001,1,1,1,1,0.08242368698120117
NLSHADE_RSP,4,7,2,-36.54,8001,4,4,4,4,0.11692953109741211
NLSHADE_RSP,4,8,2,1000.0,8001,-1,-1,-1,-1,0.08107495307922363
NLSHADE_RSP,4,9,2,46.61,8001,-1,-1,-1,-1,0.08266544342041016
NLSHADE_RSP,4,10,2,-264.31,8001,1,1,1,1,0.08307886123657227
NLSHADE_RSP,4,11,2,72.73,8001,-1,-1,-1,-1,0.08275365829467773
NLSHADE_RSP,4,12,2,136.87,8001,-1,-1,-1,-1,0.08390688896179199
NLSHADE_RSP,4,13,2,21.96,8001,-1,-1,-1,-1,0.08196616172790527
NLSHADE_RSP,4,14,2,-21.39,8001,21,21,21,21,0.0831155776977539
NLSHADE_RSP,4,15,2,517.66,8001,-1,-1,-1,-1,0.08277440071105957
NLSHADE_RSP,5,1,2,-9.209998899999995,8001,14,14,14,14,0.08035469055175781
NLSHADE_RSP,5,2,2,655.9900011,8001,-1,-1,-1,-1,0.07985877990722656
NLSHADE_RSP,5,3,2,66.7100011,8001,-1,-1,-1,-1,0.08184576034545898
NLSHADE_RSP,5,4,2,941.6700010999999,8001,-1,-1,-1,-1,0.07924866676330566
NLSHADE_RSP,5,5,2,-37.4499989,8001,6,6,6,6,0.08040165901184082
NLSHADE_RSP,5,6,2,290.6200011,8001,-1,-1,-1,-1,0.07991909980773926
NLSHADE_RSP,5,7,2,-101.5299989,8001,1,1,1,1,0.08015847206115723
NLSHADE_RSP,5,8,2,301.97000110000005,8001,-1,-1,-1,-1,0.07986140251159668
NLSHADE_RSP,5,9,2,-65.6099989,8001,1,1,1,1,0.08032774925231934
NLSHADE_RSP,5,10,2,-35.68999889999999,8001,14,14,14,14,0.08067631721496582
NLSHADE_RSP,5,11,2,31.740001100000004,8001,-1,-1,-1,-1,0.07973766326904297
NLSHADE_RSP,5,12,2,834.4900011,8001,-1,-1,-1,-1,0.08064031600952148
NLSHADE_RSP,5,13,2,41.59000110000001,8001,-1,-1,-1,-1,0.08092403411865234
NLSHADE_RSP,5,14,2,100.42000110000001,8001,-1,-1,-1,-1,0.07987761497497559
NLSHADE_RSP,5,15,2,-7.529998899999995,8001,7,7,7,7,0.08062958717346191
NLSHADE_RSP,6,1,2,35.9,8001,-1,-1,-1,-1,0.0848226547241211
NLSHADE_RSP,6,2,2,31.37,8001,-1,-1,-1,-1,0.08397269248962402
NLSHADE_RSP,6,3,2,-1000.0,8001,1,1,1,1,0.09356999397277832
NLSHADE_RSP,6,4,2,131.92,8001,-1,-1,-1,-1,0.08807206153869629
NLSHADE_RSP,6,5,2,590.84,8001,-1,-1,-1,-1,0.08202791213989258
NLSHADE_RSP,6,6,2,30.98,8001,-1,-1,-1,-1,0.08450102806091309
NLSHADE_RSP,6,7,2,-144.54,8001,11,11,11,11,0.08227753639221191
NLSHADE_RSP,6,8,2,-96.49,8001,4,4,4,4,0.08152532577514648
NLSHADE_RSP,6,9,2,1000.0,8001,-1,-1,-1,-1,0.08158493041992188
NLSHADE_RSP,6,10,2,-154.76,8001,14,14,14,14,0.08142423629760742
NLSHADE_RSP,6,11,2,39.14,8001,-1,-1,-1,-1,0.08861565589904785
NLSHADE_RSP,6,12,2,-11.86,8001,115,115,115,115,0.08809494972229004
NLSHADE_RSP,6,13,2,70.68,8001,-1,-1,-1,-1,0.08625531196594238
NLSHADE_RSP,6,14,2,-6.26,8001,4,4,4,4,0.08718323707580566
NLSHADE_RSP,6,15,2,183.86,8001,-1,-1,-1,-1,0.08906030654907227
NLSHADE_RSP,7,1,2,92.94,8001,-1,-1,-1,-1,0.08247613906860352
NLSHADE_RSP,7,2,2,35.35,8001,-1,-1,-1,-1,0.0854349136352539
