alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
PSO,1,1,2,inf,8051,-1,-1,-1,-1,0.4440450668334961
PSO,1,2,2,inf,8051,-1,-1,-1,-1,0.44894909858703613
PSO,1,3,2,inf,8051,1,1,1,1,0.5186526775360107
PSO,1,4,2,inf,8051,1,1,1,1,0.576483964920044
PSO,1,5,2,inf,8051,4,4,4,4,0.5174827575683594
PSO,1,1,2,inf,8051,-1,-1,-1,-1,0.5796597003936768
PSO,1,2,2,inf,8051,-1,-1,-1,-1,0.45223307609558105
PSO,1,3,2,inf,8051,1,1,1,1,0.45996975898742676
PSO,1,4,2,inf,8051,1,1,1,1,0.44281554222106934
PSO,1,5,2,inf,8051,2,2,2,2,0.44623446464538574
PSO,1,1,2,inf,8051,-1,-1,-1,-1,0.4439835548400879
PSO,1,2,2,inf,8051,-1,-1,-1,-1,0.4449455738067627
PSO,1,3,2,inf,8051,1,1,1,1,0.44322729110717773
PSO,1,4,2,inf,8051,1,1,1,1,0.44475245475769043
PSO,1,5,2,inf,8051,4,4,4,4,0.44693779945373535
PSO,2,1,2,inf,8051,61,61,61,61,0.45728349685668945
PSO,2,2,2,inf,8051,329,329,329,329,0.4696028232574463
PSO,2,3,2,inf,8051,168,168,168,168,0.4630763530731201
PSO,2,4,2,inf,8051,-1,-1,-1,-1,0.4666118621826172
PSO,2,5,2,inf,8051,161,161,161,161,0.4510612487792969
PSO,2,1,2,inf,8051,139,139,139,139,0.476611852645874
PSO,2,2,2,inf,8051,76,76,76,76,0.4549980163574219
PSO,2,3,2,inf,8051,245,245,245,245,0.470017671585083
PSO,2,4,2,inf,8051,-1,-1,-1,-1,0.47339367866516113
PSO,2,5,2,inf,8051,251,251,251,251,0.4749581813812256
PSO,2,1,2,inf,8051,202,202,202,202,0.45928072929382324
PSO,2,2,2,inf,8051,203,203,203,203,0.4805746078491211
PSO,2,3,2,inf,8051,104,104,104,104,0.47816896438598633
PSO,2,4,2,inf,8051,-1,-1,-1,-1,0.4741194248199463
PSO,2,5,2,inf,8051,252,252,252,252,0.47019314765930176
PSO,3,1,2,inf,8051,1,1,1,1,0.4599943161010742
PSO,3,2,2,inf,8051,-1,-1,-1,-1,0.4845547676086426
PSO,3,3,2,inf,8051,-1,-1,-1,-1,0.4651377201080322
PSO,3,4,2,inf,8051,172,172,172,172,0.5520365238189697
PSO,3,5,2,inf,8051,-1,-1,-1,-1,0.4715538024902344
PSO,3,1,2,inf,8051,1,1,1,1,0.4642195701599121
PSO,3,2,2,inf,8051,-1,-1,-1,-1,0.45753049850463867
PSO,3,3,2,inf,8051,-1,-1,-1,-1,0.4698023796081543
PSO,3,4,2,inf,8051,370,370,370,370,0.5299944877624512
PSO,3,5,2,inf,8051,-1,-1,-1,-1,0.48491382598876953
PSO,3,1,2,inf,8051,1,1,1,1,0.4664645195007324
PSO,3,2,2,inf,8051,-1,-1,-1,-1,0.4715144634246826
PSO,3,3,2,inf,8051,-1,-1,-1,-1,0.4821195602416992
PSO,3,4,2,inf,8051,43,43,43,43,0.48549699783325195
PSO,3,5,2,inf,8051,-1,-1,-1,-1,0.5321152210235596
PSO,4,1,2,inf,8051,2,2,2,2,0.484708309173584
