alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
SHADE,1,1,2,inf,8051,-1,-1,-1,-1,1.0750553607940674
SHADE,1,2,2,inf,8051,-1,-1,-1,-1,1.079435110092163
SHADE,1,3,2,inf,8051,1,1,1,1,1.0418717861175537
SHADE,1,4,2,inf,8051,1,1,1,1,1.03224515914917
SHADE,1,5,2,inf,8051,1,1,1,1,1.040705680847168
SHADE,1,1,2,inf,8051,-1,-1,-1,-1,1.036729335784912
SHADE,1,2,2,inf,8051,-1,-1,-1,-1,1.055206537246704
SHADE,1,3,2,inf,8051,1,1,1,1,1.0996644496917725
SHADE,1,4,2,inf,8051,1,1,1,1,1.0567567348480225
SHADE,1,5,2,inf,8051,3,3,3,3,1.0491211414337158
SHADE,1,1,2,inf,8051,-1,-1,-1,-1,1.0653748512268066
SHADE,1,2,2,inf,8051,-1,-1,-1,-1,1.1028573513031006
SHADE,1,3,2,inf,8051,1,1,1,1,1.176560401916504
SHADE,1,4,2,inf,8051,1,1,1,1,1.1483774185180664
SHADE,1,5,2,inf,8051,1,1,1,1,1.1228034496307373
SHADE,2,1,2,inf,8051,24,24,24,24,1.1561448574066162
SHADE,2,2,2,inf,8051,280,280,280,280,1.1852476596832275
SHADE,2,3,2,inf,8051,457,457,457,457,1.1850404739379883
SHADE,2,4,2,inf,8051,-1,-1,-1,-1,1.1597330570220947
SHADE,2,5,2,inf,8051,191,191,191,191,1.1132960319519043
SHADE,2,1,2,inf,8051,287,287,287,287,1.173694133758545
SHADE,2,2,2,inf,8051,318,318,318,318,1.2437102794647217
SHADE,2,3,2,inf,8051,355,355,355,355,1.1153628826141357
SHADE,2,4,2,inf,8051,-1,-1,-1,-1,1.1747794151306152
SHADE,2,5,2,inf,8051,205,205,205,205,1.1728806495666504
SHADE,2,1,2,inf,8051,253,253,253,253,1.1445746421813965
SHADE,2,2,2,inf,8051,57,57,57,57,1.167163372039795
SHADE,2,3,2,inf,8051,111,111,111,111,1.1572401523590088
SHADE,2,4,2,inf,8051,-1,-1,-1,-1,1.1513254642486572
SHADE,2,5,2,inf,8051,336,336,336,336,1.2840158939361572
SHADE,3,1,2,inf,8051,1,1,1,1,1.208775520324707
SHADE,3,2,2,inf,8051,-1,-1,-1,-1,1.2069764137268066
SHADE,3,3,2,inf,8051,-1,-1,-1,-1,1.2263405323028564
SHADE,3,4,2,inf,8051,210,210,210,210,1.2226088047027588
SHADE,3,5,2,inf,8051,-1,-1,-1,-1,1.201970100402832
SHADE,3,1,2,inf,8051,1,1,1,1,1.1843664646148682
SHADE,3,2,2,inf,8051,-1,-1,-1,-1,1.2131195068359375
SHADE,3,3,2,inf,8051,-1,-1,-1,-1,1.1879231929779053
SHADE,3,4,2,inf,8051,159,159,159,159,1.201444149017334
SHADE,3,5,2,inf,8051,-1,-1,-1,-1,1.196260929107666
SHADE,3,1,2,inf,8051,1,1,1,1,1.2412383556365967
SHADE,3,2,2,inf,8051,-1,-1,-1,-1,1.2257256507873535
SHADE,3,3,2,inf,8051,-1,-1,-1,-1,1.162482738494873
SHADE,3,4,2,inf,8051,283,283,283,283,1.2312877178192139
SHADE,3,5,2,inf,8051,-1,-1,-1,-1,1.1092720031738281
SHADE,4,1,2,inf,8051,1,1,1,1,1.2700247764587402
SHADE,4,2,2,inf,8051,-1,-1,-1,-1,1.1326408386230469
SHADE,4,3,2,inf,8051,-1,-1,-1,-1,1.1552915573120117
SHADE,4,4,2,inf,8051,438,438,438,438,1.1239309310913086
SHADE,4,5,2,inf,8051,-1,-1,-1,-1,1.1107327938079834
SHADE,4,1,2,inf,8051,1,1,1,1,1.1627917289733887
SHADE,4,2,2,inf,8051,-1,-1,-1,-1,1.1583657264709473
SHADE,4,3,2,inf,8051,-1,-1,-1,-1,1.2575249671936035
