alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
SSA,1,1,2,inf,15251,-1,-1,-1,-1,1.1049830913543701
SSA,1,2,2,inf,15251,-1,-1,-1,-1,1.1460049152374268
SSA,1,3,2,inf,15251,1,1,1,1,1.0823824405670166
SSA,1,4,2,inf,15251,1,1,1,1,1.0846514701843262
SSA,1,5,2,inf,15251,2,2,2,2,1.100492000579834
SSA,1,1,2,inf,15251,-1,-1,-1,-1,1.0844731330871582
SSA,1,2,2,inf,15251,-1,-1,-1,-1,1.1065621376037598
SSA,1,3,2,inf,15251,1,1,1,1,1.090958595275879
SSA,1,4,2,inf,15251,1,1,1,1,1.0958225727081299
SSA,1,5,2,inf,15251,3,3,3,3,1.075659990310669
SSA,1,1,2,inf,15251,-1,-1,-1,-1,1.0792157649993896
SSA,1,2,2,inf,15251,-1,-1,-1,-1,1.0793519020080566
SSA,1,3,2,inf,15251,1,1,1,1,1.3046669960021973
SSA,1,4,2,inf,15251,1,1,1,1,1.1639626026153564
SSA,1,5,2,inf,15251,1,1,1,1,1.0883314609527588
SSA,2,1,2,inf,15251,96,96,96,96,1.1013705730438232
SSA,2,2,2,inf,15251,163,163,163,163,1.098323106765747
SSA,2,3,2,inf,15251,292,292,292,292,1.0949177742004395
SSA,2,4,2,inf,15251,-1,-1,-1,-1,1.1694998741149902
SSA,2,5,2,inf,15251,34,34,34,34,1.105663776397705
SSA,2,1,2,inf,15251,39,39,39,39,1.188913106918335
SSA,2,2,2,inf,15251,199,199,199,199,1.0945844650268555
SSA,2,3,2,inf,15251,106,106,106,106,1.0822322368621826
SSA,2,4,2,inf,15251,-1,-1,-1,-1,1.0931880474090576
SSA,2,5,2,inf,15251,103,103,103,103,1.074214220046997
SSA,2,1,2,inf,15251,109,109,109,109,1.0768601894378662
SSA,2,2,2,inf,15251,65,65,65,65,1.0916821956634521
SSA,2,3,2,inf,15251,103,103,103,103,1.1235034465789795
SSA,2,4,2,inf,15251,-1,-1,-1,-1,1.095078468322754
SSA,2,5,2,inf,15251,42,42,42,42,1.0841784477233887
SSA,3,1,2,inf,15251,1,1,1,1,1.090235710144043
SSA,3,2,2,inf,15251,-1,-1,-1,-1,1.0797302722930908
SSA,3,3,2,inf,15251,-1,-1,-1,-1,1.0890579223632812
SSA,3,4,2,inf,15251,303,303,303,303,1.1674416065216064
