alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
SciPyDE,1,1,2,79.48341139579212,180,-1,-1,-1,-1,0.006686687469482422
SciPyDE,1,2,2,394.49618651736176,150,-1,-1,-1,-1,0.005304574966430664
SciPyDE,1,3,2,-247.0482908348447,210,1,1,1,1,0.008875846862792969
SciPyDE,1,4,2,-152.0216366121991,180,1,1,1,1,0.008170127868652344
SciPyDE,1,5,2,-25.248801794501073,240,1,1,1,1,0.01020359992980957
SciPyDE,1,1,2,79.48341139579212,180,-1,-1,-1,-1,0.007369279861450195
SciPyDE,1,2,2,394.49618651736176,150,-1,-1,-1,-1,0.005956172943115234
SciPyDE,1,3,2,-247.0482908348447,210,1,1,1,1,0.008430242538452148
SciPyDE,1,4,2,-152.0216366121991,180,1,1,1,1,0.007887125015258789
SciPyDE,1,5,2,-25.248801794501073,240,1,1,1,1,0.010549545288085938
SciPyDE,1,1,2,79.48341139579212,180,-1,-1,-1,-1,0.007366657257080078
SciPyDE,1,2,2,394.49618651736176,150,-1,-1,-1,-1,0.008252143859863281
SciPyDE,1,3,2,-247.0482908348447,210,1,1,1,1,0.01005101203918457
SciPyDE,1,4,2,-152.0216366121991,180,1,1,1,1,0.00904536247253418
SciPyDE,1,5,2,-25.248801794501073,240,1,1,1,1,0.01123809814453125
SciPyDE,2,1,2,-209.85643321233076,570,60,60,60,60,0.024724483489990234
SciPyDE,2,2,2,-92.06141864788998,660,227,227,227,227,0.026282787322998047
SciPyDE,2,3,2,-87.88606875220509,510,195,195,195,195,0.02026963233947754
SciPyDE,2,4,2,320.21581490283944,480,-1,-1,-1,-1,0.018877744674682617
SciPyDE,2,5,2,-104.22905823004169,630,211,211,211,211,0.025825023651123047
SciPyDE,2,1,2,-209.85643321233076,570,60,60,60,60,0.024602413177490234
SciPyDE,2,2,2,-92.06141864788998,660,227,227,227,227,0.028272151947021484
SciPyDE,2,3,2,-87.88606875220509,510,195,195,195,195,0.022197246551513672
SciPyDE,2,4,2,320.21581490283944,480,-1,-1,-1,-1,0.020550251007080078
SciPyDE,2,5,2,-104.22905823004169,630,211,211,211,211,0.02692699432373047
SciPyDE,2,1,2,-209.85643321233076,570,60,60,60,60,0.02429509162902832
SciPyDE,2,2,2,-92.06141864788998,660,227,227,227,227,0.027973175048828125
SciPyDE,2,3,2,-87.88606875220509,510,195,195,195,195,0.020756006240844727
SciPyDE,2,4,2,320.21581490283944,480,-1,-1,-1,-1,0.018738985061645508
SciPyDE,2,5,2,-104.22905823004169,630,211,211,211,211,0.026047706604003906
SciPyDE,3,1,2,-461.8507640463003,450,1,1,1,1,0.017507553100585938
