alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
WOA,1,1,2,inf,8051,-1,-1,-1,-1,0.41753458976745605
WOA,1,2,2,inf,8051,-1,-1,-1,-1,0.39452052116394043
WOA,1,3,2,inf,8051,1,1,1,1,0.39757633209228516
WOA,1,4,2,inf,8051,1,1,1,1,0.3884868621826172
WOA,1,5,2,inf,8051,2,2,2,2,0.38481569290161133
WOA,1,1,2,inf,8051,-1,-1,-1,-1,0.39077234268188477
WOA,1,2,2,inf,8051,-1,-1,-1,-1,0.40952563285827637
WOA,1,3,2,inf,8051,1,1,1,1,0.4031069278717041
WOA,1,4,2,inf,8051,1,1,1,1,0.385669469833374
WOA,1,5,2,inf,8051,1,1,1,1,0.38454413414001465
WOA,1,1,2,inf,8051,-1,-1,-1,-1,0.3940434455871582
WOA,1,2,2,inf,8051,-1,-1,-1,-1,0.4046618938446045
WOA,1,3,2,inf,8051,1,1,1,1,0.39510655403137207
WOA,1,4,2,inf,8051,1,1,1,1,0.40170836448669434
WOA,1,5,2,inf,8051,2,2,2,2,0.38705897331237793
WOA,2,1,2,inf,8051,153,153,153,153,0.3969459533691406
WOA,2,2,2,inf,8051,71,71,71,71,0.405895471572876
WOA,2,3,2,inf,8051,154,154,154,154,0.4076366424560547
WOA,2,4,2,inf,8051,-1,-1,-1,-1,0.4158177375793457
WOA,2,5,2,inf,8051,18,18,18,18,0.4010505676269531
WOA,2,1,2,inf,8051,155,155,155,155,0.4196338653564453
WOA,2,2,2,inf,8051,130,130,130,130,0.3853933811187744
WOA,2,3,2,inf,8051,158,158,158,158,0.4001636505126953
WOA,2,4,2,inf,8051,-1,-1,-1,-1,0.39270997047424316
WOA,2,5,2,inf,8051,87,87,87,87,0.40001893043518066
WOA,2,1,2,inf,8051,154,154,154,154,0.4110379219055176
WOA,2,2,2,inf,8051,46,46,46,46,0.3998534679412842
WOA,2,3,2,inf,8051,97,97,97,97,0.40245914459228516
WOA,2,4,2,inf,8051,-1,-1,-1,-1,0.46206021308898926
WOA,2,5,2,inf,8051,159,159,159,159,0.39371252059936523
WOA,3,1,2,inf,8051,1,1,1,1,0.373765230178833
WOA,3,2,2,inf,8051,-1,-1,-1,-1,0.41319751739501953
WOA,3,3,2,inf,8051,-1,-1,-1,-1,0.3658711910247803
WOA,3,4,2,inf,8051,-1,-1,-1,-1,0.37219905853271484
WOA,3,5,2,inf,8051,-1,-1,-1,-1,0.37032079696655273
WOA,3,1,2,inf,8051,1,1,1,1,0.3756287097930908
WOA,3,2,2,inf,8051,-1,-1,-1,-1,0.37551212310791016
WOA,3,3,2,inf,8051,-1,-1,-1,-1,0.3702073097229004
WOA,3,4,2,inf,8051,426,426,426,426,0.3749501705169678
WOA,3,5,2,inf,8051,-1,-1,-1,-1,0.37208986282348633
WOA,3,1,2,inf,8051,1,1,1,1,0.3729257583618164
WOA,3,2,2,inf,8051,-1,-1,-1,-1,0.3852086067199707
WOA,3,3,2,inf,8051,-1,-1,-1,-1,0.42027926445007324
WOA,3,4,2,inf,8051,204,204,204,204,0.4025859832763672
WOA,3,5,2,inf,8051,-1,-1,-1,-1,0.3714280128479004
WOA,4,1,2,inf,8051,1,1,1,1,0.46840572357177734
WOA,4,2,2,inf,8051,-1,-1,-1,-1,0.413956880569458
WOA,4,3,2,inf,8051,-1,-1,-1,-1,0.3903787136077881
WOA,4,4,2,inf,8051,-1,-1,-1,-1,0.37436580657958984
WOA,4,5,2,inf,8051,-1,-1,-1,-1,0.3712453842163086
WOA,4,1,2,inf,8051,1,1,1,1,0.36788201332092285
WOA,4,2,2,inf,8051,-1,-1,-1,-1,0.3733351230621338
WOA,4,3,2,inf,8051,-1,-1,-1,-1,0.37073183059692383
WOA,4,4,2,inf,8051,283,283,283,283,0.37145018577575684
WOA,4,5,2,inf,8051,-1,-1,-1,-1,0.36983299255371094
WOA,4,1,2,inf,8051,1,1,1,1,0.37563586235046387
WOA,4,2,2,inf,8051,-1,-1,-1,-1,0.36503076553344727
WOA,4,3,2,inf,8051,-1,-1,-1,-1,0.36841678619384766
WOA,4,4,2,inf,8051,-1,-1,-1,-1,0.3715941905975342
WOA,4,5,2,inf,8051,-1,-1,-1,-1,0.369495153427124
WOA,5,1,2,inf,8051,18,18,18,18,0.3601646423339844
