alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
jSO,1,1,2,79.48,1956,-1,-1,-1,-1,0.023608922958374023
jSO,1,2,2,394.48,1975,-1,-1,-1,-1,0.02276444435119629
jSO,1,3,2,-247.11,2013,1,1,1,1,0.023409605026245117
jSO,1,4,2,-152.04,1956,1,1,1,1,0.02274775505065918
jSO,1,5,2,-25.25,2013,1,1,1,1,0.023602962493896484
jSO,1,6,2,-201.72,1956,1,1,1,1,0.030866622924804688
jSO,1,7,2,-1000.0,1899,1,1,1,1,0.02213311195373535
jSO,1,8,2,-42.9,2068,1,1,1,1,0.0241854190826416
jSO,1,9,2,-101.32,1975,1,1,1,1,0.022922277450561523
jSO,1,10,2,3.65,2230,-1,-1,-1,-1,0.02721858024597168
jSO,1,11,2,220.53,1899,-1,-1,-1,-1,0.022582530975341797
jSO,1,12,2,421.29,1918,-1,-1,-1,-1,0.022932767868041992
jSO,1,13,2,-79.0,1994,1,1,1,1,0.02369999885559082
jSO,1,14,2,-41.33,2013,1,1,1,1,0.023523330688476562
jSO,1,15,2,212.75,1937,-1,-1,-1,-1,0.02345752716064453
jSO,2,1,2,-209.88,2230,143,143,143,143,0.02742767333984375
jSO,2,2,2,-92.09,2302,118,118,118,118,0.0281524658203125
jSO,2,3,2,-87.89,2428,98,98,98,98,0.029047727584838867
jSO,2,4,2,320.19,2284,-1,-1,-1,-1,0.028400659561157227
jSO,2,5,2,-104.24,2445,165,165,165,165,0.030228376388549805
jSO,2,6,2,-35.7,2428,297,297,297,297,0.03061389923095703
jSO,2,7,2,20.7,2445,-1,-1,-1,-1,0.02993011474609375
jSO,2,8,2,38.07,2392,-1,-1,-1,-1,0.0288393497467041
jSO,2,9,2,-45.42,2320,188,188,188,188,0.028868675231933594
jSO,2,10,2,66.95,2445,-1,-1,-1,-1,0.029458284378051758
jSO,2,11,2,58.32,2547,-1,-1,-1,-1,0.03193497657775879
jSO,2,12,2,193.27,2284,-1,-1,-1,-1,0.027942180633544922
jSO,2,13,2,-419.01,2338,99,99,99,99,0.028740882873535156
jSO,2,14,2,407.61,2302,-1,-1,-1,-1,0.028072118759155273
