alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
JADE,1,1,2,79.48,3090,-1,-1,-1,-1,0.03228187561035156
JADE,1,2,2,394.48,2730,-1,-1,-1,-1,0.030384540557861328
JADE,1,3,2,-247.11,2730,1,1,1,1,0.03339385986328125
JADE,1,4,2,-152.04,2760,1,1,1,1,0.033513784408569336
JADE,1,5,2,-25.25,3090,1,1,1,1,0.03722643852233887
JADE,1,6,2,-201.72,2880,1,1,1,1,0.03453397750854492
JADE,1,7,2,-1000.0,2880,1,1,1,1,0.0349576473236084
JADE,1,8,2,-42.9,3060,1,1,1,1,0.03704833984375
JADE,1,9,2,-101.32,2940,1,1,1,1,0.03522539138793945
JADE,1,10,2,3.65,3120,-1,-1,-1,-1,0.03780412673950195
JADE,1,11,2,220.53,2850,-1,-1,-1,-1,0.03447318077087402
JADE,1,12,2,421.29,2820,-1,-1,-1,-1,0.03372001647949219
JADE,1,13,2,-79.0,2790,1,1,1,1,0.03539633750915527
JADE,1,14,2,-41.33,3120,1,1,1,1,0.03496241569519043
JADE,1,15,2,212.75,2760,-1,-1,-1,-1,0.02927875518798828
JADE,2,1,2,-209.88,3570,265,265,265,265,0.039406538009643555
JADE,2,2,2,-92.09,3360,373,373,373,373,0.04156064987182617
JADE,2,3,2,-87.89,3750,225,225,225,225,0.04904508590698242
JADE,2,4,2,320.19,3630,-1,-1,-1,-1,0.044801950454711914
JADE,2,5,2,-104.24,3510,243,243,243,243,0.04279637336730957
JADE,2,6,2,-35.7,3540,302,302,302,302,0.042292118072509766
JADE,2,7,2,20.7,3630,-1,-1,-1,-1,0.04049992561340332
JADE,2,8,2,38.07,3810,-1,-1,-1,-1,0.04206061363220215
JADE,2,9,2,-45.42,3690,48,48,48,48,0.04104733467102051
JADE,2,10,2,66.95,3540,-1,-1,-1,-1,0.039408206939697266
JADE,2,11,2,58.32,3750,-1,-1,-1,-1,0.041098833084106445
JADE,2,12,2,193.27,3540,-1,-1,-1,-1,0.039348602294921875
JADE,2,13,2,-419.01,3420,150,150,150,150,0.038930654525756836
JADE,2,14,2,407.61,3840,-1,-1,-1,-1,0.042853593826293945
JADE,2,15,2,28.72,3900,-1,-1,-1,-1,0.04339766502380371
JADE,3,1,2,-462.09,4920,1,1,1,1,0.05593729019165039
JADE,3,2,2,77.66,4200,-1,-1,-1,-1,0.04722714424133301
JADE,3,3,2,115.68,4560,-1,-1,-1,-1,0.051573753356933594
JADE,3,4,2,-3.71,4920,126,126,126,126,0.05568671226501465
JADE,3,5,2,132.18,4260,-1,-1,-1,-1,0.04805707931518555
JADE,3,6,2,-584.73,3900,1,1,1,1,0.0440678596496582
JADE,3,7,2,-36.54,5010,1,1,1,1,0.056496620178222656
JADE,3,8,2,1000.0,4230,-1,-1,-1,-1,0.04793691635131836
JADE,3,9,2,46.61,4740,-1,-1,-1,-1,0.053597211837768555
JADE,3,10,2,-264.31,4050,1,1,1,1,0.045835256576538086
JADE,3,11,2,72.73,4290,-1,-1,-1,-1,0.04847311973571777
JADE,3,12,2,136.87,4680,-1,-1,-1,-1,0.052496910095214844
JADE,3,13,2,21.96,4590,-1,-1,-1,-1,0.05093979835510254
JADE,3,14,2,-21.39,4440,83,83,83,83,0.04960894584655762
JADE,3,15,2,517.66,4380,-1,-1,-1,-1,0.049019813537597656
JADE,4,1,2,-462.09,4770,1,1,1,1,0.052283287048339844
JADE,4,2,2,77.66,4770,-1,-1,-1,-1,0.05292534828186035
JADE,4,3,2,115.68,4230,-1,-1,-1,-1,0.04691505432128906
JADE,4,4,2,-3.71,4980,191,191,191,191,0.055875301361083984
JADE,4,5,2,132.18,4830,-1,-1,-1,-1,0.05318093299865723
JADE,4,6,2,-584.73,4740,1,1,1,1,0.054268598556518555
JADE,4,7,2,-36.54,4770,4,4,4,4,0.05765199661254883
JADE,4,8,2,1000.0,5310,-1,-1,-1,-1,0.0628821849822998
JADE,4,9,2,46.61,5160,-1,-1,-1,-1,0.06116294860839844
JADE,4,10,2,-264.31,4770,1,1,1,1,0.05644989013671875
JADE,4,11,2,72.73,5220,-1,-1,-1,-1,0.06301140785217285
JADE,4,12,2,136.87,5340,-1,-1,-1,-1,0.06378650665283203
JADE,4,13,2,21.96,4920,-1,-1,-1,-1,0.05953264236450195
JADE,4,14,2,-21.39,4980,21,21,21,21,0.05971574783325195
JADE,4,15,2,517.66,4560,-1,-1,-1,-1,0.05211901664733887
JADE,5,1,2,-9.209998899999995,1740,14,14,14,14,0.019413471221923828
JADE,5,2,2,655.9900011,1770,-1,-1,-1,-1,0.023759841918945312
JADE,5,3,2,66.7100011,1710,-1,-1,-1,-1,0.022278547286987305
JADE,5,4,2,941.6700010999999,1710,-1,-1,-1,-1,0.0190277099609375
JADE,5,5,2,-37.4499989,1740,6,6,6,6,0.019440889358520508
JADE,5,6,2,290.6200011,1740,-1,-1,-1,-1,0.022185564041137695
JADE,5,7,2,-101.5299989,1710,1,1,1,1,0.02367997169494629
JADE,5,8,2,301.97000110000005,1800,-1,-1,-1,-1,0.02432847023010254
JADE,5,9,2,-65.6099989,1710,1,1,1,1,0.023772001266479492
JADE,5,10,2,-35.68999889999999,1740,14,14,14,14,0.023860454559326172
JADE,5,11,2,31.740001100000004,1770,-1,-1,-1,-1,0.024782180786132812
JADE,5,12,2,834.4900011,1710,-1,-1,-1,-1,0.019977807998657227
JADE,5,13,2,41.59000110000001,1740,-1,-1,-1,-1,0.020577669143676758
JADE,5,14,2,100.42000110000001,1770,-1,-1,-1,-1,0.02020096778869629
JADE,5,15,2,-7.529998899999995,1770,7,7,7,7,0.021459102630615234
JADE,6,1,2,35.9,5880,-1,-1,-1,-1,0.06411242485046387
JADE,6,2,2,31.37,4980,-1,-1,-1,-1,0.05409693717956543
JADE,6,3,2,-1000.0,4980,1,1,1,1,0.053928375244140625
JADE,6,4,2,131.92,5040,-1,-1,-1,-1,0.054787635803222656
JADE,6,5,2,590.84,4770,-1,-1,-1,-1,0.052309274673461914
JADE,6,6,2,30.98,5790,-1,-1,-1,-1,0.0652468204498291
JADE,6,7,2,-144.54,4980,11,11,11,11,0.05923748016357422
JADE,6,8,2,-96.49,4890,4,4,4,4,0.05817246437072754
JADE,6,9,2,1000.0,4020,-1,-1,-1,-1,0.0478053092956543
JADE,6,10,2,-154.76,5550,14,14,14,14,0.06420493125915527
JADE,6,11,2,39.14,5520,-1,-1,-1,-1,0.0803225040435791
JADE,6,12,2,-11.86,5790,32,32,32,32,0.08210372924804688
JADE,6,13,2,70.68,4470,-1,-1,-1,-1,0.052245140075683594
JADE,6,14,2,-6.26,5220,4,4,4,4,0.06476426124572754
JADE,6,15,2,183.86,4170,-1,-1,-1,-1,0.049066781997680664
JADE,7,1,2,92.94,5010,-1,-1,-1,-1,0.05795121192932129
JADE,7,2,2,35.35,4440,-1,-1,-1,-1,0.05367565155029297
JADE,7,3,2,3.82,5010,-1,-1,-1,-1,0.05727648735046387
JADE,7,4,2,21.75,4830,-1,-1,-1,-1,0.057221412658691406
JADE,7,5,2,64.79,4740,-1,-1,-1,-1,0.055552005767822266
JADE,7,6,2,54.07,4980,-1,-1,-1,-1,0.05697441101074219
JADE,7,7,2,-91.52,4080,2,2,2,2,0.04909944534301758
JADE,7,8,2,22.63,5100,-1,-1,-1,-1,0.05775332450866699
JADE,7,9,2,15.54,4830,-1,-1,-1,-1,0.05445981025695801
JADE,7,10,2,-376.51,3840,3,3,3,3,0.04472661018371582
JADE,7,11,2,396.04,4770,-1,-1,-1,-1,0.05719256401062012
JADE,7,12,2,128.11,4410,-1,-1,-1,-1,0.05037832260131836
JADE,7,13,2,-292.35,4500,3,3,3,3,0.06106138229370117
JADE,7,14,2,311.01,4320,-1,-1,-1,-1,0.05275678634643555
JADE,7,15,2,-805.18,4110,1,1,1,1,0.049558401107788086
JADE,8,1,2,149.15,5580,-1,-1,-1,-1,0.06702947616577148
JADE,8,2,2,-1000.0,4710,5,5,5,5,0.05463433265686035
JADE,8,3,2,98.62,5970,-1,-1,-1,-1,0.07133173942565918
JADE,8,4,2,-47.15,5850,63,63,63,63,0.0673379898071289
JADE,8,5,2,37.52,5550,-1,-1,-1,-1,0.06705689430236816
JADE,8,6,2,-425.75,5790,5,5,5,5,0.06964921951293945
JADE,8,7,2,-220.9,6090,4,4,4,4,0.07346725463867188
JADE,8,8,2,-359.48,5610,14,14,14,14,0.06778097152709961
JADE,8,9,2,27.48,5220,-1,-1,-1,-1,0.06338214874267578
JADE,8,10,2,36.09,5520,-1,-1,-1,-1,0.06589150428771973
JADE,8,11,2,-57.91,5400,32,32,32,32,0.0656280517578125
JADE,8,12,2,-334.91,5400,6,6,6,6,0.06535673141479492
JADE,8,13,2,-46.7,5550,21,21,21,21,0.0676274299621582
JADE,8,14,2,-93.08,7200,6,6,6,6,0.08818960189819336
JADE,8,15,2,41.68,6060,-1,-1,-1,-1,0.07432746887207031
JADE,9,1,2,123.83,5370,-1,-1,-1,-1,0.06298375129699707
JADE,9,2,2,47.51,5790,-1,-1,-1,-1,0.06631183624267578
JADE,9,3,2,55.34,4410,-1,-1,-1,-1,0.05120038986206055
JADE,9,4,2,-90.33,5730,4,4,4,4,0.0744178295135498
JADE,9,5,2,65.61,5340,-1,-1,-1,-1,0.06627583503723145
JADE,9,6,2,-290.08,5370,4,4,4,4,0.06397628784179688
JADE,9,7,2,25.1,4230,-1,-1,-1,-1,0.050406455993652344
JADE,9,8,2,-87.56,5070,13,13,13,13,0.06119227409362793
JADE,9,9,2,60.07,5010,-1,-1,-1,-1,0.05930685997009277
JADE,9,10,2,-136.63,3930,2,2,2,2,0.04567742347717285
JADE,9,11,2,163.93,4800,-1,-1,-1,-1,0.059439659118652344
JADE,9,12,2,-50.02,7050,18,18,18,18,0.08093762397766113
JADE,9,13,2,588.86,6420,-1,-1,-1,-1,0.07305383682250977
JADE,9,14,2,-32.94,6000,52,52,52,52,0.07309961318969727
JADE,9,15,2,-111.62,5070,4,4,4,4,0.06744956970214844
JADE,10,1,2,-54.94,5610,215,215,215,215,0.0683598518371582
JADE,10,2,2,59.13,6090,-1,-1,-1,-1,0.07523441314697266
JADE,10,3,2,-491.53,5160,152,152,152,152,0.059937238693237305
JADE,10,4,2,-170.2,5640,300,300,300,300,0.0698089599609375
JADE,10,5,2,-469.75,5670,174,174,174,174,0.07443547248840332
JADE,10,6,2,-12.8,5940,331,331,331,331,0.07885265350341797
JADE,10,7,2,-385.69,5160,126,126,126,126,0.0662393569946289
JADE,10,8,2,40.0,6750,-1,-1,-1,-1,0.0892324447631836
JADE,10,9,2,114.26,6060,-1,-1,-1,-1,0.0794825553894043
JADE,10,10,2,13.93,6450,-1,-1,-1,-1,0.08119797706604004
JADE,10,11,2,-31.75,5460,494,494,494,494,0.06997418403625488
JADE,10,12,2,54.32,5640,-1,-1,-1,-1,0.0705265998840332
JADE,10,13,2,40.52,6510,-1,-1,-1,-1,0.08315443992614746
JADE,10,14,2,-118.49,5550,212,212,212,212,0.06696081161499023
JADE,10,15,2,28.1,5700,-1,-1,-1,-1,0.07185626029968262
JADE,11,1,2,76.27,6210,-1,-1,-1,-1,0.0847775936126709
JADE,11,2,2,-22.55,6180,262,262,262,262,0.07888984680175781
JADE,11,3,2,13.66,5790,-1,-1,-1,-1,0.07411074638366699
JADE,11,4,2,937.84,5340,-1,-1,-1,-1,0.07189106941223145
JADE,11,5,2,-78.72,5520,241,241,241,241,0.07271480560302734
JADE,11,6,2,-598.43,4860,35,35,35,35,0.0588839054107666
JADE,11,7,2,-85.42,6060,273,273,273,273,0.07235932350158691
JADE,11,8,2,193.25,5580,-1,-1,-1,-1,0.06827163696289062
JADE,11,9,2,-181.5,5580,77,77,77,77,0.06954765319824219
JADE,11,10,2,452.62,5490,-1,-1,-1,-1,0.08723568916320801
JADE,11,11,2,-118.46,5910,169,169,169,169,0.08159875869750977
JADE,11,12,2,99.73,4860,-1,-1,-1,-1,0.08199477195739746
JADE,11,13,2,40.44,5310,-1,-1,-1,-1,0.07152080535888672
JADE,11,14,2,-121.6,6270,109,109,109,109,0.0830695629119873
JADE,11,15,2,-38.11,5760,455,455,455,455,0.07595038414001465
JADE,12,1,2,-621.11,4560,93,93,93,93,0.062216997146606445
JADE,12,2,2,-254.81999971361537,8040,111,111,111,111,0.10569405555725098
JADE,12,3,2,56.61000000689044,8040,-1,-1,-1,-1,0.10580110549926758
JADE,12,4,2,-18.1,7170,400,400,400,400,0.12063384056091309
JADE,12,5,2,37.77081165095732,8040,-1,-1,-1,-1,0.1024322509765625
JADE,12,6,2,-15.229580722863249,8040,261,261,261,261,0.10767245292663574
JADE,12,7,2,-161.42980229415326,8040,46,46,46,46,0.09161567687988281
JADE,12,8,2,328.03,6990,-1,-1,-1,-1,0.08142375946044922
JADE,12,9,2,-32.12999940224305,8040,74,74,74,74,0.09609842300415039
JADE,12,10,2,15.76,6900,-1,-1,-1,-1,0.08406972885131836
JADE,12,11,2,37.350000021808356,8040,-1,-1,-1,-1,0.0949091911315918
JADE,12,12,2,-309.63,6480,200,200,200,200,0.08686566352844238
JADE,12,13,2,-1000.0,6600,15,15,15,15,0.08272767066955566
JADE,12,14,2,58.0,6090,-1,-1,-1,-1,0.07479453086853027
JADE,12,15,2,94.38,4440,-1,-1,-1,-1,0.05758929252624512
JADE,13,1,2,29.97,8040,-1,-1,-1,-1,0.10164999961853027
JADE,13,2,2,-51.71,8040,50,50,50,50,0.10028600692749023
JADE,13,3,2,-279.95,6690,3,3,3,3,0.08280444145202637
JADE,13,4,2,931.99,6600,-1,-1,-1,-1,0.08213925361633301
JADE,13,5,2,113.31,8040,-1,-1,-1,-1,0.10909104347229004
JADE,13,6,2,-300.02,7290,2,2,2,2,0.10782623291015625
JADE,13,7,2,44.71,8040,-1,-1,-1,-1,0.08800601959228516
JADE,13,8,2,-1000.0,7380,2,2,2,2,0.09249377250671387
JADE,13,9,2,304.2,6600,-1,-1,-1,-1,0.08874797821044922
JADE,13,10,2,-104.67,7530,5,5,5,5,0.09949922561645508
JADE,13,11,2,486.95,6870,-1,-1,-1,-1,0.08571481704711914
JADE,13,12,2,96.55,8040,-1,-1,-1,-1,0.11033129692077637
JADE,13,13,2,6.32,8040,-1,-1,-1,-1,0.12360072135925293
JADE,13,14,2,-127.51,8040,34,34,34,34,0.09944510459899902
JADE,13,15,2,832.8,8040,-1,-1,-1,-1,0.09894323348999023
JADE,14,1,2,-52.35,6240,1,1,1,1,0.09070706367492676
JADE,14,2,2,-179.54,5820,1,1,1,1,0.0784156322479248
JADE,14,3,2,77.31,6690,-1,-1,-1,-1,0.08228135108947754
JADE,14,4,2,39.92,6150,-1,-1,-1,-1,0.10018396377563477
JADE,14,5,2,-56.61,6450,1,1,1,1,0.07477998733520508
JADE,14,6,2,51.34,6480,-1,-1,-1,-1,0.07643461227416992
JADE,14,7,2,-124.4,6060,1,1,1,1,0.07073259353637695
JADE,14,8,2,0.6,7590,-1,-1,-1,-1,0.08573651313781738
JADE,14,9,2,-40.71,6030,1,1,1,1,0.06987309455871582
JADE,14,10,2,814.32,5610,-1,-1,-1,-1,0.07991266250610352
JADE,14,11,2,-62.05,6390,1,1,1,1,0.07630777359008789
