alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
LSHADE,1,1,2,79.48,1310,-1,-1,-1,-1,0.01632547378540039
LSHADE,1,2,2,394.48,1180,-1,-1,-1,-1,0.017764568328857422
LSHADE,1,3,2,-247.11,1200,1,1,1,1,0.018568992614746094
LSHADE,1,4,2,-152.04,990,1,1,1,1,0.015505552291870117
LSHADE,1,5,2,-25.25,1180,1,1,1,1,0.014796257019042969
LSHADE,1,6,2,-201.72,1170,1,1,1,1,0.015386819839477539
LSHADE,1,7,2,-1000.0,1020,1,1,1,1,0.014056921005249023
LSHADE,1,8,2,-42.9,1230,1,1,1,1,0.015734195709228516
LSHADE,1,9,2,-101.32,1160,1,1,1,1,0.015504598617553711
LSHADE,1,10,2,3.65,1250,-1,-1,-1,-1,0.016422748565673828
LSHADE,1,11,2,220.53,1140,-1,-1,-1,-1,0.015113115310668945
LSHADE,1,12,2,421.29,1100,-1,-1,-1,-1,0.014353752136230469
LSHADE,1,13,2,-79.0,1270,1,1,1,1,0.015958547592163086
LSHADE,1,14,2,-41.33,1290,1,1,1,1,0.016632080078125
LSHADE,1,15,2,212.75,1260,-1,-1,-1,-1,0.017400026321411133
LSHADE,2,1,2,-209.88,1440,58,58,58,58,0.01909661293029785
LSHADE,2,2,2,-92.09,1460,151,151,151,151,0.020701169967651367
LSHADE,2,3,2,-87.89,1370,62,62,62,62,0.01942610740661621
LSHADE,2,4,2,320.19,1480,-1,-1,-1,-1,0.0284883975982666
LSHADE,2,5,2,-104.24,1550,130,130,130,130,0.02015376091003418
LSHADE,2,6,2,-35.7,1420,122,122,122,122,0.017314672470092773
LSHADE,2,7,2,20.7,1560,-1,-1,-1,-1,0.019519329071044922
LSHADE,2,8,2,38.07,1440,-1,-1,-1,-1,0.018192529678344727
LSHADE,2,9,2,-45.42,1570,96,96,96,96,0.0212252140045166
LSHADE,2,10,2,66.95,1600,-1,-1,-1,-1,0.01981043815612793
LSHADE,2,11,2,58.32,1520,-1,-1,-1,-1,0.01895737648010254
LSHADE,2,12,2,193.27,1880,-1,-1,-1,-1,0.024112462997436523
LSHADE,2,13,2,-419.01,1470,151,151,151,151,0.01987147331237793
LSHADE,2,14,2,407.61,1490,-1,-1,-1,-1,0.019126176834106445
LSHADE,2,15,2,28.72,1630,-1,-1,-1,-1,0.0228731632232666
LSHADE,3,1,2,-458.1101688094459,1820,1,1,1,1,0.02323293685913086
LSHADE,3,2,2,77.66,1640,-1,-1,-1,-1,0.021828413009643555
LSHADE,3,3,2,115.68,2060,-1,-1,-1,-1,0.027421951293945312
LSHADE,3,4,2,-3.71,2000,179,179,179,179,0.026587963104248047
LSHADE,3,5,2,132.18,1600,-1,-1,-1,-1,0.020636320114135742
LSHADE,3,6,2,-584.73,1520,1,1,1,1,0.019893884658813477
LSHADE,3,7,2,-36.54,1580,1,1,1,1,0.021344661712646484
LSHADE,3,8,2,1000.0,1570,-1,-1,-1,-1,0.02114415168762207
LSHADE,3,9,2,46.61,1550,-1,-1,-1,-1,0.021140336990356445
LSHADE,3,10,2,-264.31,1580,1,1,1,1,0.021917104721069336
LSHADE,3,11,2,72.73,1950,-1,-1,-1,-1,0.026941299438476562
LSHADE,3,12,2,136.87,1800,-1,-1,-1,-1,0.026157855987548828
LSHADE,3,13,2,21.96,1840,-1,-1,-1,-1,0.024884939193725586
LSHADE,3,14,2,-21.39,1810,32,32,32,32,0.023035764694213867
LSHADE,3,15,2,517.66,1470,-1,-1,-1,-1,0.019145965576171875
LSHADE,4,1,2,-462.09,1810,1,1,1,1,0.023369789123535156
LSHADE,4,2,2,78.6549590570933,1540,-1,-1,-1,-1,0.020007610321044922
LSHADE,4,3,2,116.6749590570933,1520,-1,-1,-1,-1,0.020071029663085938
LSHADE,4,4,2,-3.71,2170,89,89,89,89,0.03372478485107422
LSHADE,4,5,2,132.18,1730,-1,-1,-1,-1,0.025383949279785156
LSHADE,4,6,2,-584.73,1900,1,1,1,1,0.024652719497680664
LSHADE,4,7,2,-36.54,2060,4,4,4,4,0.026013851165771484
LSHADE,4,8,2,1000.0,1760,-1,-1,-1,-1,0.023587942123413086
LSHADE,4,9,2,46.61,1780,-1,-1,-1,-1,0.02391219139099121
LSHADE,4,10,2,-264.31,1860,1,1,1,1,0.02432703971862793
LSHADE,4,11,2,72.73,1860,-1,-1,-1,-1,0.023496627807617188
