alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
NLSHADE_RSP,1,1,2,79.48,8001,-1,-1,-1,-1,0.08024263381958008
NLSHADE_RSP,1,2,2,394.48,8001,-1,-1,-1,-1,0.08309006690979004
NLSHADE_RSP,1,3,2,-247.11,8001,1,1,1,1,0.08296513557434082
NLSHADE_RSP,1,4,2,-152.04,8001,1,1,1,1,0.08211040496826172
NLSHADE_RSP,1,5,2,-25.25,8001,1,1,1,1,0.07984280586242676
NLSHADE_RSP,1,6,2,-201.72,8001,1,1,1,1,0.0802605152130127
NLSHADE_RSP,1,7,2,-1000.0,8001,1,1,1,1,0.10625362396240234
NLSHADE_RSP,1,8,2,-42.9,8001,1,1,1,1,0.08016490936279297
NLSHADE_RSP,1,9,2,-101.32,8001,1,1,1,1,0.07731890678405762
NLSHADE_RSP,1,10,2,3.65,8001,-1,-1,-1,-1,0.07771682739257812
NLSHADE_RSP,1,11,2,220.53,8001,-1,-1,-1,-1,0.07880997657775879
NLSHADE_RSP,1,12,2,421.29,8001,-1,-1,-1,-1,0.08412718772888184
NLSHADE_RSP,1,13,2,-79.0,8001,1,1,1,1,0.08478283882141113
NLSHADE_RSP,1,14,2,-41.33,8001,1,1,1,1,0.0834805965423584
NLSHADE_RSP,1,15,2,212.75,8001,-1,-1,-1,-1,0.08465003967285156
NLSHADE_RSP,2,1,2,-209.88,8001,554,554,554,554,0.08647942543029785
NLSHADE_RSP,2,2,2,-92.09,8001,470,470,470,470,0.08238339424133301
NLSHADE_RSP,2,3,2,-87.89,8001,460,460,460,460,0.0823206901550293
NLSHADE_RSP,2,4,2,320.19,8001,-1,-1,-1,-1,0.08368372917175293
NLSHADE_RSP,2,5,2,-104.24,8001,97,97,97,97,0.08206605911254883
NLSHADE_RSP,2,6,2,-35.7,8001,428,428,428,428,0.08242988586425781
NLSHADE_RSP,2,7,2,20.7,8001,-1,-1,-1,-1,0.08226943016052246
NLSHADE_RSP,2,8,2,38.07,8001,-1,-1,-1,-1,0.08255839347839355
NLSHADE_RSP,2,9,2,-45.42,8001,326,326,326,326,0.08358502388000488
NLSHADE_RSP,2,10,2,66.95,8001,-1,-1,-1,-1,0.08359074592590332
NLSHADE_RSP,2,11,2,58.32,8001,-1,-1,-1,-1,0.08445429801940918
NLSHADE_RSP,2,12,2,193.27,8001,-1,-1,-1,-1,0.08332681655883789
NLSHADE_RSP,2,13,2,-419.01,8001,87,87,87,87,0.08228302001953125
NLSHADE_RSP,2,14,2,407.61,8001,-1,-1,-1,-1,0.08258223533630371
NLSHADE_RSP,2,15,2,28.72,8001,-1,-1,-1,-1,0.08273077011108398
NLSHADE_RSP,3,1,2,-462.09,8001,1,1,1,1,0.08550882339477539
NLSHADE_RSP,3,2,2,77.66,8001,-1,-1,-1,-1,0.08494734764099121
NLSHADE_RSP,3,3,2,115.68,8001,-1,-1,-1,-1,0.08489179611206055
NLSHADE_RSP,3,4,2,-3.71,8001,168,168,168,168,0.08423829078674316
NLSHADE_RSP,3,5,2,132.18,8001,-1,-1,-1,-1,0.09029960632324219
NLSHADE_RSP,3,6,2,-584.73,8001,1,1,1,1,0.10213685035705566
NLSHADE_RSP,3,7,2,-36.54,8001,1,1,1,1,0.10000181198120117
NLSHADE_RSP,3,8,2,1000.0,8001,-1,-1,-1,-1,0.0985724925994873
NLSHADE_RSP,3,9,2,46.61,8001,-1,-1,-1,-1,0.10040593147277832
NLSHADE_RSP,3,10,2,-264.31,8001,1,1,1,1,0.10036635398864746
NLSHADE_RSP,3,11,2,72.73,8001,-1,-1,-1,-1,0.08858633041381836
NLSHADE_RSP,3,12,2,136.87,8001,-1,-1,-1,-1,0.09675049781799316
NLSHADE_RSP,3,13,2,21.96,8001,-1,-1,-1,-1,0.0902705192565918
NLSHADE_RSP,3,14,2,-21.39,8001,38,38,38,38,0.08935761451721191
NLSHADE_RSP,3,15,2,517.66,8001,-1,-1,-1,-1,0.09350967407226562
NLSHADE_RSP,4,1,2,-462.09,8001,1,1,1,1,0.0994720458984375
NLSHADE_RSP,4,2,2,77.66,8001,-1,-1,-1,-1,0.09700489044189453
NLSHADE_RSP,4,3,2,115.68,8001,-1,-1,-1,-1,0.09090137481689453
NLSHADE_RSP,4,4,2,-3.71,8001,401,401,401,401,0.10171246528625488
NLSHADE_RSP,4,5,2,132.18,8001,-1,-1,-1,-1,0.08370256423950195
NLSHADE_RSP,4,6,2,-584.73,8001,1,1,1,1,0.08495855331420898
NLSHADE_RSP,4,7,2,-36.54,8001,4,4,4,4,0.11779546737670898
NLSHADE_RSP,4,8,2,1000.0,8001,-1,-1,-1,-1,0.0852196216583252
NLSHADE_RSP,4,9,2,46.61,8001,-1,-1,-1,-1,0.08569455146789551
NLSHADE_RSP,4,10,2,-264.31,8001,1,1,1,1,0.0845034122467041
NLSHADE_RSP,4,11,2,72.73,8001,-1,-1,-1,-1,0.08814215660095215
NLSHADE_RSP,4,12,2,136.87,8001,-1,-1,-1,-1,0.08682107925415039
NLSHADE_RSP,4,13,2,21.96,8001,-1,-1,-1,-1,0.08701324462890625
NLSHADE_RSP,4,14,2,-21.39,8001,21,21,21,21,0.08433127403259277
NLSHADE_RSP,4,15,2,517.66,8001,-1,-1,-1,-1,0.08287334442138672
NLSHADE_RSP,5,1,2,-9.209998899999995,8001,14,14,14,14,0.08139419555664062
NLSHADE_RSP,5,2,2,655.9900011,8001,-1,-1,-1,-1,0.08727693557739258
NLSHADE_RSP,5,3,2,66.7100011,8001,-1,-1,-1,-1,0.09496331214904785
NLSHADE_RSP,5,4,2,941.6700010999999,8001,-1,-1,-1,-1,0.09196877479553223
NLSHADE_RSP,5,5,2,-37.4499989,8001,6,6,6,6,0.08827805519104004
NLSHADE_RSP,5,6,2,290.6200011,8001,-1,-1,-1,-1,0.08858728408813477
NLSHADE_RSP,5,7,2,-101.5299989,8001,1,1,1,1,0.08848285675048828
NLSHADE_RSP,5,8,2,301.97000110000005,8001,-1,-1,-1,-1,0.08836078643798828
NLSHADE_RSP,5,9,2,-65.6099989,8001,1,1,1,1,0.08876848220825195
NLSHADE_RSP,5,10,2,-35.68999889999999,8001,14,14,14,14,0.08839941024780273
NLSHADE_RSP,5,11,2,31.740001100000004,8001,-1,-1,-1,-1,0.0893259048461914
NLSHADE_RSP,5,12,2,834.4900011,8001,-1,-1,-1,-1,0.08935880661010742
NLSHADE_RSP,5,13,2,41.59000110000001,8001,-1,-1,-1,-1,0.08844995498657227
NLSHADE_RSP,5,14,2,100.42000110000001,8001,-1,-1,-1,-1,0.08860921859741211
NLSHADE_RSP,5,15,2,-7.529998899999995,8001,7,7,7,7,0.08875608444213867
NLSHADE_RSP,6,1,2,35.9,8001,-1,-1,-1,-1,0.09044575691223145
NLSHADE_RSP,6,2,2,31.37,8001,-1,-1,-1,-1,0.09058547019958496
NLSHADE_RSP,6,3,2,-1000.0,8001,1,1,1,1,0.09602689743041992
NLSHADE_RSP,6,4,2,131.92,8001,-1,-1,-1,-1,0.0903623104095459
