alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
jSO,1,1,2,79.48,1956,-1,-1,-1,-1,0.02011561393737793
jSO,1,2,2,394.48,1975,-1,-1,-1,-1,0.02064681053161621
jSO,1,3,2,-247.11,2013,1,1,1,1,0.021832704544067383
jSO,1,4,2,-152.04,1956,1,1,1,1,0.02220010757446289
jSO,1,5,2,-25.25,2013,1,1,1,1,0.022012948989868164
jSO,1,6,2,-201.72,1956,1,1,1,1,0.02196025848388672
jSO,1,7,2,-1000.0,1899,1,1,1,1,0.02105116844177246
jSO,1,8,2,-42.9,2068,1,1,1,1,0.023134469985961914
jSO,1,9,2,-101.32,1975,1,1,1,1,0.021841049194335938
jSO,1,10,2,3.65,2230,-1,-1,-1,-1,0.02471446990966797
jSO,1,11,2,220.53,1899,-1,-1,-1,-1,0.02134871482849121
jSO,1,12,2,421.29,1918,-1,-1,-1,-1,0.02127242088317871
jSO,1,13,2,-79.0,1994,1,1,1,1,0.02222895622253418
jSO,1,14,2,-41.33,2013,1,1,1,1,0.022620439529418945
jSO,1,15,2,212.75,1937,-1,-1,-1,-1,0.021676063537597656
jSO,2,1,2,-209.88,2230,143,143,143,143,0.02533745765686035
jSO,2,2,2,-92.09,2302,118,118,118,118,0.026181697845458984
jSO,2,3,2,-87.89,2428,98,98,98,98,0.02810382843017578
jSO,2,4,2,320.19,2284,-1,-1,-1,-1,0.02631092071533203
jSO,2,5,2,-104.24,2445,165,165,165,165,0.02812671661376953
jSO,2,6,2,-35.7,2428,297,297,297,297,0.02735757827758789
jSO,2,7,2,20.7,2445,-1,-1,-1,-1,0.027826309204101562
jSO,2,8,2,38.07,2392,-1,-1,-1,-1,0.02711629867553711
jSO,2,9,2,-45.42,2320,188,188,188,188,0.027916908264160156
jSO,2,10,2,66.95,2445,-1,-1,-1,-1,0.030605792999267578
jSO,2,11,2,58.32,2547,-1,-1,-1,-1,0.032122135162353516
jSO,2,12,2,193.27,2284,-1,-1,-1,-1,0.0295259952545166
jSO,2,13,2,-419.01,2338,99,99,99,99,0.029909372329711914
jSO,2,14,2,407.61,2302,-1,-1,-1,-1,0.03177905082702637
jSO,2,15,2,28.72,2356,-1,-1,-1,-1,0.030448436737060547
jSO,3,1,2,-462.09,3371,1,1,1,1,0.04464888572692871
jSO,3,2,2,77.66,4305,-1,-1,-1,-1,0.0559544563293457
jSO,3,3,2,115.68,3461,-1,-1,-1,-1,0.04499483108520508
jSO,3,4,2,-3.71,3491,206,206,206,206,0.04509282112121582
jSO,3,5,2,132.18,3204,-1,-1,-1,-1,0.041167497634887695
jSO,3,6,2,-584.73,3124,1,1,1,1,0.0408017635345459
jSO,3,7,2,-36.54,3461,1,1,1,1,0.04553842544555664
jSO,3,8,2,1000.0,3140,-1,-1,-1,-1,0.0410161018371582
jSO,3,9,2,46.61,4045,-1,-1,-1,-1,0.052443742752075195
jSO,3,10,2,-264.31,3356,1,1,1,1,0.043517351150512695
jSO,3,11,2,72.73,3521,-1,-1,-1,-1,0.04517865180969238
jSO,3,12,2,136.87,3566,-1,-1,-1,-1,0.04561758041381836
jSO,3,13,2,21.96,3461,-1,-1,-1,-1,0.044509172439575195
jSO,3,14,2,-21.39,3808,113,113,113,113,0.04872012138366699
jSO,3,15,2,517.66,3461,-1,-1,-1,-1,0.04379105567932129
jSO,4,1,2,-462.09,3808,1,1,1,1,0.05066704750061035
jSO,4,2,2,77.66,3864,-1,-1,-1,-1,0.05431413650512695
jSO,4,3,2,116.6749590570933,3446,-1,-1,-1,-1,0.048323631286621094
jSO,4,4,2,-3.71,3990,323,323,323,323,0.05518364906311035
jSO,4,5,2,132.18,4567,-1,-1,-1,-1,0.05905938148498535
jSO,4,6,2,-584.73,4240,1,1,1,1,0.05422258377075195
jSO,4,7,2,-36.54,4058,4,4,4,4,0.0547490119934082
jSO,4,8,2,1000.0,3878,-1,-1,-1,-1,0.04956960678100586
jSO,4,9,2,46.61,3976,-1,-1,-1,-1,0.050760746002197266
