alg1,alg2,W,p,p_holm,reject_0.05
NLSHADE-RSP,SciPyDE,0.0,1.862645149230957e-09,1.0803341865539551e-07,True
NLSHADE-RSP,PSO,0.0,1.862645149230957e-09,1.0989606380462646e-07,True
LBFGSB,jSO,0.0,1.862645149230957e-09,1.1175870895385742e-07,True
LBFGSB,SLO_HBYRID,0.0,1.862645149230957e-09,1.1362135410308838e-07,True
LBFGSB,NLSHADE-RSP,0.0,1.862645149230957e-09,1.1548399925231934e-07,True
LBFGSB,LSHADE,0.0,1.862645149230957e-09,1.1734664440155029e-07,True
JADE,LBFGSB,0.0,1.862645149230957e-09,1.1920928955078125e-07,True
GWO,NLSHADE-RSP,0.0,1.862645149230957e-09,1.210719347000122e-07,True
GA,NLSHADE-RSP,0.0,1.862645149230957e-09,1.2293457984924316e-07,True
SciPyDE,jSO,5.0,1.862645149230957e-08,1.0617077350616455e-06,True
SLO_HBYRID,SciPyDE,8.5,4.6566128730773926e-08,2.60770320892334e-06,True
NLSHADE-RSP,SSA,9.5,6.146728992462158e-08,3.380700945854187e-06,True
LBFGSB,PSO,11.0,1.0244548320770264e-07,5.327165126800537e-06,True
GWO,jSO,10.5,1.0244548320770264e-07,5.42961061000824e-06,True
CMAES,LBFGSB,11.5,1.0244548320770264e-07,5.532056093215942e-06,True
GA,jSO,21.0,8.326023817062378e-07,4.246272146701813e-05,True
LSHADE,SciPyDE,22.0,9.98377799987793e-07,4.991888999938965e-05,True
SSA,jSO,23.0,1.1920928955078125e-06,5.7220458984375e-05,True
JADE,PSO,23.0,1.1920928955078125e-06,5.841255187988281e-05,True
GWO,LBFGSB,24.0,1.4193356037139893e-06,6.67087733745575e-05,True
PSO,jSO,24.5,1.6838312149047852e-06,7.577240467071533e-05,True
LBFGSB,SSA,24.5,1.6838312149047852e-06,7.745623588562012e-05,True
GWO,JADE,26.0,1.991167664527893e-06,8.76113772392273e-05,True
PSO,SLO_HBYRID,27.0,2.348795533180237e-06,0.00010099820792675018,True
SLO_HBYRID,SSA,31.5,4.421919584274292e-06,0.00018129870295524597,True
GWO,SLO_HBYRID,30.5,4.421919584274292e-06,0.00018572062253952026,True
GWO,LSHADE,32.0,5.144625902175903e-06,0.00020578503608703613,True
JADE,SciPyDE,33.5,5.973502993583679e-06,0.0002329666167497635,True
GA,JADE,33.5,6.917864084243774e-06,0.00026287883520126343,True
CMAES,SLO_HBYRID,37.0,1.0609626770019531e-05,0.00039255619049072266,True
LSHADE,PSO,38.0,1.218356192111969e-05,0.00043860822916030884,True
LBFGSB,SciPyDE,38.5,1.3966113328933716e-05,0.00047484785318374634,True
GA,SLO_HBYRID,39.0,1.3966113328933716e-05,0.00048881396651268,True
GA,LSHADE,41.5,2.0798295736312866e-05,0.0006655454635620117,True
GA,LBFGSB,42.0,2.0798295736312866e-05,0.0006863437592983246,True
LSHADE,SSA,45.5,3.049522638320923e-05,0.0009453520178794861,True
CMAES,jSO,48.5,4.968419671058655e-05,0.0014408417046070099,True
CMAES,NLSHADE-RSP,49.0,4.968419671058655e-05,0.0014905259013175964,True
JADE,NLSHADE-RSP,66.0,0.00031275488436222076,0.008757136762142181,True
JADE,SSA,74.5,0.0006665531545877457,0.017996935173869133,True
CMAES,LSHADE,79.0,0.001038169488310814,0.02699240669608116,True
JADE,jSO,89.5,0.002560090273618698,0.06400225684046745,False
CMAES,SciPyDE,97.0,0.004338232800364494,0.10411758720874786,False
CMAES,JADE,111.5,0.012047622352838516,0.2770953141152859,False
CMAES,SSA,116.5,0.015460003167390823,0.3401200696825981,False
JADE,SLO_HBYRID,118.5,0.018529480323195457,0.3891190867871046,False
CMAES,PSO,129.0,0.03272089920938015,0.654417984187603,False
CMAES,GWO,131.0,0.036434996873140335,0.6922649405896664,False
CMAES,GA,133.0,0.04048972204327583,0.728814996778965,False
SSA,SciPyDE,214.5,0.7303419969975948,0.7303419969975948,False
JADE,LSHADE,126.5,0.05064401775598526,0.8609483018517494,False
GWO,SciPyDE,196.5,0.46454504504799843,1.0,False
GWO,SSA,142.0,0.0635564886033535,1.0,False
GWO,PSO,209.5,0.6554384250193834,1.0,False
PSO,SciPyDE,160.0,0.140283040702343,1.0,False
PSO,SSA,149.5,0.08793856762349606,1.0,False
SLO_HBYRID,jSO,199.0,0.5027610473334789,1.0,False
LSHADE,SLO_HBYRID,200.0,0.5158484429121017,1.0,False
LSHADE,NLSHADE-RSP,149.5,0.14936558529734612,1.0,False
LSHADE,jSO,157.5,0.12935307621955872,1.0,False
GA,SciPyDE,189.0,0.3817984350025654,1.0,False
GA,SSA,150.5,0.09194962680339813,1.0,False
NLSHADE-RSP,jSO,206.5,0.5978077705949545,1.0,False
NLSHADE-RSP,SLO_HBYRID,183.5,0.31839608028531075,1.0,False
GA,GWO,200.5,0.5291051845997572,1.0,False
GA,PSO,180.0,0.28936620615422726,1.0,False
